fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
606694,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Ponferradina,4907,Castellón,5254,1,2,True
606691,2020-09-12T16:15:00+00:00,FT,Regular Season - 1,Leganes,537,Las Palmas,534,1,0,True
606698,2020-09-12T16:15:00+00:00,FT,Regular Season - 1,Sporting Gijon,731,UD Logroñés,5280,1,0,True
606689,2020-09-12T19:00:00+00:00,FT,Regular Season - 1,Espanyol,540,Albacete,722,3,0,True
606695,2020-09-13T10:00:00+00:00,FT,Regular Season - 1,Oviedo,718,FC Cartagena,5262,0,0,True
606692,2020-09-13T14:00:00+00:00,FT,Regular Season - 1,Mallorca,798,Rayo Vallecano,728,0,1,True
606693,2020-09-13T16:15:00+00:00,FT,Regular Season - 1,Mirandes,799,Alcorcon,711,0,0,True
606690,2020-09-13T16:15:00+00:00,FT,Regular Season - 1,Fuenlabrada,4906,Lugo,716,2,0,True
606699,2020-09-13T19:00:00+00:00,FT,Regular Season - 1,Tenerife,719,Malaga,535,2,0,True
606709,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Mirandes,799,Oviedo,718,1,1,True
606701,2020-09-19T16:15:00+00:00,FT,Regular Season - 2,Alcorcon,711,Tenerife,719,2,0,True
606704,2020-09-19T16:15:00+00:00,FT,Regular Season - 2,Castellón,5254,Malaga,535,0,1,True
606710,2020-09-19T19:00:00+00:00,FT,Regular Season - 2,Rayo Vallecano,728,Sabadell,9593,2,1,True
606708,2020-09-20T10:00:00+00:00,FT,Regular Season - 2,Lugo,716,Leganes,537,2,1,True
606706,2020-09-20T14:00:00+00:00,FT,Regular Season - 2,Espanyol,540,Mallorca,798,0,0,True
606700,2020-09-20T16:15:00+00:00,FT,Regular Season - 2,Albacete,722,Ponferradina,4907,0,2,True
606703,2020-09-20T16:15:00+00:00,FT,Regular Season - 2,FC Cartagena,5262,Sporting Gijon,731,0,1,True
606707,2020-09-20T18:30:00+00:00,FT,Regular Season - 2,Las Palmas,534,Fuenlabrada,4906,3,3,True
606719,2020-09-26T14:00:00+00:00,FT,Regular Season - 3,Zaragoza,732,Las Palmas,534,2,2,True
606715,2020-09-26T16:15:00+00:00,FT,Regular Season - 3,Malaga,535,Alcorcon,711,1,0,True
606720,2020-09-26T16:15:00+00:00,FT,Regular Season - 3,Sporting Gijon,731,Girona,547,2,0,True
606713,2020-09-26T16:15:00+00:00,FT,Regular Season - 3,UD Logroñés,5280,Castellón,5254,1,1,True
606711,2020-09-26T18:30:00+00:00,FT,Regular Season - 3,Fuenlabrada,4906,Albacete,722,1,0,True
606714,2020-09-27T10:00:00+00:00,FT,Regular Season - 3,Lugo,716,Almeria,723,0,2,True
606716,2020-09-27T14:00:00+00:00,FT,Regular Season - 3,Mallorca,798,Sabadell,9593,1,0,True
606718,2020-09-27T16:15:00+00:00,FT,Regular Season - 3,Oviedo,718,Espanyol,540,0,2,True
606721,2020-09-27T16:15:00+00:00,FT,Regular Season - 3,Tenerife,719,Mirandes,799,1,2,True
606717,2020-09-27T16:15:00+00:00,FT,Regular Season - 3,Ponferradina,4907,Rayo Vallecano,728,3,0,True
606712,2020-09-27T18:30:00+00:00,FT,Regular Season - 3,Leganes,537,FC Cartagena,5262,3,1,True
606723,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Alcorcon,711,Zaragoza,732,0,0,True
606730,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Mirandes,799,Ponferradina,4907,0,1,True
606722,2020-10-03T16:15:00+00:00,FT,Regular Season - 4,Albacete,722,Oviedo,718,1,1,True
606729,2020-10-03T16:15:00+00:00,FT,Regular Season - 4,Mallorca,798,Tenerife,719,2,0,True
606728,2020-10-03T18:30:00+00:00,FT,Regular Season - 4,Las Palmas,534,UD Logroñés,5280,2,1,True
606731,2020-10-03T19:00:00+00:00,FT,Regular Season - 4,Rayo Vallecano,728,Malaga,535,4,0,True
606727,2020-10-04T10:00:00+00:00,FT,Regular Season - 4,Girona,547,Fuenlabrada,4906,0,1,True
606732,2020-10-04T14:00:00+00:00,FT,Regular Season - 4,Sabadell,9593,Espanyol,540,0,1,True
606724,2020-10-04T16:15:00+00:00,FT,Regular Season - 4,Almeria,723,Sporting Gijon,731,0,1,True
606726,2020-10-04T16:15:00+00:00,FT,Regular Season - 4,Castellón,5254,Leganes,537,2,0,True
