fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
608301,2020-09-19T17:00:00+00:00,FT,Regular Season - 1,BSC Young Boys,565,FC Zurich,783,2,1,True
608300,2020-09-19T17:00:00+00:00,FT,Regular Season - 1,FC Lugano,606,FC Luzern,644,2,1,True
608302,2020-09-20T14:00:00+00:00,FT,Regular Season - 1,FC Basel 1893,551,FC Vaduz,660,2,2,True
608304,2020-09-20T14:00:00+00:00,FT,Regular Season - 1,FC ST. Gallen,1011,FC Sion,630,1,0,True
608303,2020-09-20T14:00:00+00:00,FT,Regular Season - 1,Lausanne,1014,Servette FC,2184,2,1,True
608305,2020-09-26T17:00:00+00:00,FT,Regular Season - 2,FC Sion,630,BSC Young Boys,565,0,0,True
608306,2020-09-26T17:00:00+00:00,FT,Regular Season - 2,FC Zurich,783,FC Lugano,606,2,2,True
608307,2020-09-27T14:00:00+00:00,FT,Regular Season - 2,FC Luzern,644,Lausanne,1014,2,2,True
608309,2020-09-27T14:00:00+00:00,FT,Regular Season - 2,FC Vaduz,660,FC ST. Gallen,1011,0,1,True
608308,2020-09-27T14:00:00+00:00,FT,Regular Season - 2,Servette FC,2184,FC Basel 1893,551,1,0,True
608311,2020-10-03T17:00:00+00:00,FT,Regular Season - 3,FC Lugano,606,FC Sion,630,2,2,True
608310,2020-10-03T17:00:00+00:00,FT,Regular Season - 3,Lausanne,1014,FC Zurich,783,4,0,True
608312,2020-10-04T14:00:00+00:00,FT,Regular Season - 3,FC Basel 1893,551,FC Luzern,644,3,2,True
608314,2020-10-04T14:00:00+00:00,FT,Regular Season - 3,BSC Young Boys,565,FC Vaduz,660,1,0,True
608313,2020-10-04T14:00:00+00:00,FT,Regular Season - 3,FC ST. Gallen,1011,Servette FC,2184,1,0,True
608316,2020-10-17T17:00:00+00:00,FT,Regular Season - 4,FC Vaduz,660,FC Lugano,606,1,1,True
608315,2020-10-17T17:00:00+00:00,FT,Regular Season - 4,Servette FC,2184,BSC Young Boys,565,0,0,True
608318,2020-10-18T14:00:00+00:00,FT,Regular Season - 4,FC Sion,630,Lausanne,1014,0,0,True
