fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1219045,2024-08-09T12:00:00+00:00,FT,Regular Season - 1,Bangkok United,2770,Prachuap,2791,2,1,True
1219048,2024-08-10T11:00:00+00:00,FT,Regular Season - 1,Nong Bua Pitchaya,2796,Buriram United,2780,0,4,True
1219051,2024-08-10T11:30:00+00:00,FT,Regular Season - 1,Sukhothai FC,2783,BG Pathum United,2769,1,3,True
1219047,2024-08-10T12:00:00+00:00,FT,Regular Season - 1,Rayong FC,2797,Port FC,2789,1,3,True
1219046,2024-08-11T11:00:00+00:00,FT,Regular Season - 1,Ratchaburi,2776,Nakhon Pathom,6578,2,3,True
1219050,2024-08-11T11:30:00+00:00,FT,Regular Season - 1,Lamphun Warrior,6572,Uthai Thani,10088,1,0,True
1219049,2024-08-11T12:00:00+00:00,FT,Regular Season - 1,Nakhon Ratchasima FC,2773,Muangthong United,2786,2,1,True
1219052,2024-08-12T12:00:00+00:00,FT,Regular Season - 1,Chiangrai United,2771,Khon Kaen United,10086,2,0,True
1219060,2024-08-16T12:00:00+00:00,FT,Regular Season - 2,BG Pathum United,2769,Rayong FC,2797,0,1,True
1219169,2024-08-17T11:30:00+00:00,FT,Regular Season - 2,Ratchaburi,2776,Uthai Thani,10088,1,1,True
1219057,2024-08-17T12:00:00+00:00,FT,Regular Season - 2,Prachuap,2791,Nong Bua Pitchaya,2796,4,0,True
1219056,2024-08-18T11:00:00+00:00,FT,Regular Season - 2,Muangthong United,2786,Lamphun Warrior,6572,1,0,True
1219059,2024-08-18T11:30:00+00:00,FT,Regular Season - 2,Khon Kaen United,10086,Sukhothai FC,2783,1,1,True
1219055,2024-08-18T12:00:00+00:00,FT,Regular Season - 2,Buriram United,2780,Bangkok United,2770,4,2,True
1219053,2024-08-18T12:00:00+00:00,FT,Regular Season - 2,Nakhon Pathom,6578,Nakhon Ratchasima FC,2773,1,2,True
1219058,2024-08-19T12:00:00+00:00,FT,Regular Season - 2,Port FC,2789,Chiangrai United,2771,5,1,True
1219066,2024-08-23T12:00:00+00:00,FT,Regular Season - 3,Rayong FC,2797,Muangthong United,2786,1,1,True
1219063,2024-08-24T11:00:00+00:00,FT,Regular Season - 3,Sukhothai FC,2783,Prachuap,2791,2,0,True
1219062,2024-08-24T11:00:00+00:00,FT,Regular Season - 3,Khon Kaen United,10086,Port FC,2789,1,2,True
1219065,2024-08-24T11:30:00+00:00,FT,Regular Season - 3,Nakhon Ratchasima FC,2773,Lamphun Warrior,6572,1,1,True
1219067,2024-08-24T12:00:00+00:00,FT,Regular Season - 3,Nong Bua Pitchaya,2796,Nakhon Pathom,6578,2,1,True
1219061,2024-08-25T11:00:00+00:00,FT,Regular Season - 3,Chiangrai United,2771,Buriram United,2780,0,5,True
1219064,2024-08-25T11:30:00+00:00,FT,Regular Season - 3,Ratchaburi,2776,BG Pathum United,2769,4,1,True
1219068,2024-08-25T12:00:00+00:00,FT,Regular Season - 3,Bangkok United,2770,Uthai Thani,10088,0,0,True
1219076,2024-08-27T11:00:00+00:00,FT,Regular Season - 4,Lamphun Warrior,6572,Nong Bua Pitchaya,2796,3,3,True
1219069,2024-08-27T12:00:00+00:00,FT,Regular Season - 4,Port FC,2789,Sukhothai FC,2783,4,1,True
1219075,2024-08-28T11:00:00+00:00,FT,Regular Season - 4,Uthai Thani,10088,Nakhon Ratchasima FC,2773,1,1,True
1219072,2024-08-28T11:30:00+00:00,FT,Regular Season - 4,Muangthong United,2786,Ratchaburi,2776,2,0,True
1219073,2024-08-28T11:30:00+00:00,FT,Regular Season - 4,Prachuap,2791,Rayong FC,2797,3,0,True
1219074,2024-08-28T12:00:00+00:00,FT,Regular Season - 4,BG Pathum United,2769,Chiangrai United,2771,2,0,True
1219071,2024-08-29T11:00:00+00:00,FT,Regular Season - 4,Nakhon Pathom,6578,Bangkok United,2770,0,3,True
1219181,2024-08-29T12:00:00+00:00,FT,Regular Season - 4,Khon Kaen United,10086,Buriram United,2780,0,3,True
1219081,2024-08-31T11:00:00+00:00,FT,Regular Season - 5,Nong Bua Pitchaya,2796,Muangthong United,2786,0,0,True
1219077,2024-08-31T11:30:00+00:00,FT,Regular Season - 5,Sukhothai FC,2783,Uthai Thani,10088,2,3,True
1219082,2024-08-31T12:00:00+00:00,FT,Regular Season - 5,Rayong FC,2797,Nakhon Ratchasima FC,2773,1,1,True
1219080,2024-08-31T13:00:00+00:00,FT,Regular Season - 5,Chiangrai United,2771,Prachuap,2791,1,1,True
1219083,2024-09-01T11:00:00+00:00,FT,Regular Season - 5,Ratchaburi,2776,Port FC,2789,2,2,True
1219079,2024-09-01T11:30:00+00:00,FT,Regular Season - 5,Bangkok United,2770,Lamphun Warrior,6572,3,2,True
1219078,2024-09-01T11:30:00+00:00,FT,Regular Season - 5,Khon Kaen United,10086,BG Pathum United,2769,0,3,True
1219084,2024-09-01T12:00:00+00:00,FT,Regular Season - 5,Buriram United,2780,Nakhon Pathom,6578,3,0,True
1219086,2024-09-12T11:30:00+00:00,FT,Regular Season - 6,Port FC,2789,Buriram United,2780,0,0,True
1219089,2024-09-14T12:00:00+00:00,FT,Regular Season - 6,Nakhon Ratchasima FC,2773,Bangkok United,2770,1,1,True
1219091,2024-09-14T13:00:00+00:00,FT,Regular Season - 6,BG Pathum United,2769,Nong Bua Pitchaya,2796,1,1,True
1219088,2024-09-15T11:00:00+00:00,FT,Regular Season - 6,Muangthong United,2786,Sukhothai FC,2783,4,2,True
1219087,2024-09-15T11:00:00+00:00,FT,Regular Season - 6,Uthai Thani,10088,Rayong FC,2797,3,1,True
1219092,2024-09-15T12:00:00+00:00,FT,Regular Season - 6,Prachuap,2791,Khon Kaen United,10086,1,0,True
1219090,2024-09-15T12:00:00+00:00,FT,Regular Season - 6,Lamphun Warrior,6572,Ratchaburi,2776,1,0,True
1219095,2024-09-20T12:00:00+00:00,FT,Regular Season - 7,Khon Kaen United,10086,Nakhon Pathom,6578,0,0,True
1219094,2024-09-21T11:00:00+00:00,FT,Regular Season - 7,Nong Bua Pitchaya,2796,Uthai Thani,10088,3,2,True
1219096,2024-09-21T12:00:00+00:00,FT,Regular Season - 7,Ratchaburi,2776,Nakhon Ratchasima FC,2773,4,0,True
1219097,2024-09-21T13:00:00+00:00,FT,Regular Season - 7,Sukhothai FC,2783,Lamphun Warrior,6572,4,0,True
