fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
884899,2022-11-27T16:00:00+00:00,CANC,Regular Season - 15,Göztepe,994,Altay,3566,,,False,1583
884986,2023-02-15T14:00:00+00:00,CANC,Regular Season - 25,Rizespor,1007,Adanaspor,3564,,,False,1580
884985,2023-02-16T14:00:00+00:00,CANC,Regular Season - 25,Altay,3566,Yeni Malatyaspor,999,,,False,12684
884981,2023-03-05T13:00:00+00:00,CANC,Regular Season - 24,Yeni Malatyaspor,999,Manisa F.K.,3597,,,False,1588
884979,2023-03-05T13:00:00+00:00,CANC,Regular Season - 24,Adanaspor,3564,Eyüpspor,3588,,,False,11924
885000,2023-03-12T14:00:00+00:00,CANC,Regular Season - 26,Yeni Malatyaspor,999,Sakaryaspor,3602,,,False,1588
884998,2023-03-12T16:00:00+00:00,CANC,Regular Season - 26,Adanaspor,3564,Manisa F.K.,3597,,,False,11924
885039,2023-03-17T17:00:00+00:00,CANC,Regular Season - 31,Gençlerbirliği S.K.,997,Yeni Malatyaspor,999,,,False,2378
885040,2023-03-18T13:00:00+00:00,CANC,Regular Season - 31,Pendikspor,3601,Adanaspor,3564,,,False,19225
885003,2023-03-19T13:00:00+00:00,CANC,Regular Season - 27,Erzurumspor FK,1009,Yeni Malatyaspor,999,,,False,1741
885004,2023-03-19T13:00:00+00:00,CANC,Regular Season - 27,Bandırmaspor,3584,Adanaspor,3564,,,False,2386
885019,2023-03-26T12:00:00+00:00,CANC,Regular Season - 28,Yeni Malatyaspor,999,Bandırmaspor,3584,,,False,1588
885018,2023-03-26T12:00:00+00:00,CANC,Regular Season - 28,Adanaspor,3564,Sakaryaspor,3602,,,False,11924
885021,2023-03-29T12:00:00+00:00,CANC,Regular Season - 29,Göztepe,994,Yeni Malatyaspor,999,,,False,1583
885022,2023-03-29T12:00:00+00:00,CANC,Regular Season - 29,Gençlerbirliği S.K.,997,Adanaspor,3564,,,False,2378
885049,2023-04-02T00:00:00+00:00,CANC,Regular Season - 32,Yeni Malatyaspor,999,Boluspor,3569,,,False,1588
885056,2023-04-02T00:00:00+00:00,CANC,Regular Season - 32,Adanaspor,3564,Erzurumspor FK,1009,,,False,11924
885032,2023-04-02T12:00:00+00:00,CANC,Regular Season - 30,Yeni Malatyaspor,999,Altınordu,3567,,,False,1588
885031,2023-04-02T12:00:00+00:00,CANC,Regular Season - 30,Adanaspor,3564,Boluspor,3569,,,False,11924
885058,2023-04-09T00:00:00+00:00,CANC,Regular Season - 33,Altınordu,3567,Adanaspor,3564,,,False,22364
885057,2023-04-09T00:00:00+00:00,CANC,Regular Season - 33,Pendikspor,3601,Yeni Malatyaspor,999,,,False,19225
885071,2023-04-16T00:00:00+00:00,CANC,Regular Season - 34,Yeni Malatyaspor,999,Beykoz Anadolu,3609,,,False,1588
885075,2023-04-23T00:00:00+00:00,CANC,Regular Season - 35,Göztepe,994,Adanaspor,3564,,,False,1583
885092,2023-04-30T00:00:00+00:00,CANC,Regular Season - 36,Yeni Malatyaspor,999,Samsunspor,3603,,,False,1588
885091,2023-04-30T00:00:00+00:00,CANC,Regular Season - 36,Adanaspor,3564,Keçiörengücü,3595,,,False,11924
885094,2023-05-07T00:00:00+00:00,CANC,Regular Season - 37,Denizlispor,3570,Adanaspor,3564,,,False,2372
885093,2023-05-07T00:00:00+00:00,CANC,Regular Season - 37,Keçiörengücü,3595,Yeni Malatyaspor,999,,,False,2397
885108,2023-05-14T00:00:00+00:00,CANC,Regular Season - 38,Yeni Malatyaspor,999,Denizlispor,3570,,,False,1588
885110,2023-05-14T00:00:00+00:00,CANC,Regular Season - 38,Adanaspor,3564,Samsunspor,3603,,,False,11924
884773,2022-08-12T18:00:00+00:00,FT,Regular Season - 1,Altay,3566,Samsunspor,3603,0,2,True,12684
