fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
787377,2021-09-07T12:00:00+00:00,FT,1st Round,Batman Petrolspor,7395,Hendek Spor,6521,0,1,True
787376,2021-09-08T12:00:00+00:00,FT,1st Round,Siirt İl Özel İdaresi,6537,Çankaya FK,7428,0,1,True
787374,2021-09-08T12:00:00+00:00,AET,1st Round,Iğdır FK,17259,Orduspor 1967,17261,1,0,False
787375,2021-09-08T12:30:00+00:00,FT,1st Round,Karaman FK,6526,Kahta 02 Spor,6525,2,5,True
787378,2021-09-08T13:00:00+00:00,FT,1st Round,Kuşadasıspor,17260,Modafen,6535,3,0,True
793952,2021-09-28T10:00:00+00:00,FT,2nd Round,Elazığspor,3571,Arnavutköy Belediyespor,15101,0,1,True
793964,2021-09-28T11:00:00+00:00,FT,2nd Round,Karaköprü Belediyespor,7408,Kızılcabölükspor,7413,2,0,True
793954,2021-09-28T11:30:00+00:00,FT,2nd Round,Nevşehir Belediyespor,7416,Fethiyespor,3590,3,0,True
793961,2021-09-28T12:00:00+00:00,FT,2nd Round,Güzide Gebzespor,6511,Erbaaspor,7401,2,1,True
793962,2021-09-28T12:30:00+00:00,FT,2nd Round,Edirnespor,6519,Çatalcaspor,7429,3,0,True
793948,2021-09-28T15:00:00+00:00,AET,2nd Round,Yeni Mersin Idmanyurdu,6546,Düzcespor,7399,1,1,False
793965,2021-09-29T10:00:00+00:00,AET,2nd Round,Ağrı 1970,6509,Kuşadasıspor,17260,1,0,False
793960,2021-09-29T10:00:00+00:00,FT,2nd Round,Yomraspor,7427,Yeşilyurt Belediyespor,6541,4,0,True
793942,2021-09-29T10:00:00+00:00,FT,2nd Round,Çankaya FK,7428,Ofspor,7417,3,2,True
793956,2021-09-29T11:00:00+00:00,AET,2nd Round,1954 Kelkit Belediyespor,6506,Ceyhanspor,15100,2,2,False
793944,2021-09-29T11:00:00+00:00,FT,2nd Round,Artvin Hopaspor,7394,BAK,3582,2,0,True
793963,2021-09-29T11:00:00+00:00,AET,2nd Round,Fatsa Belediyespor,7404,Beyoğlu Yeni Çarşı,7406,1,0,False
793949,2021-09-29T11:30:00+00:00,FT,2nd Round,68 Aksaray Belediyespor,6507,Bayrampaşaspor,3585,3,0,True
793953,2021-09-29T11:30:00+00:00,AET,2nd Round,Çarşambaspor,6544,Altındağ Belediyesispor,7393,1,1,False
793943,2021-09-29T11:30:00+00:00,FT,2nd Round,Alanya 1221 FK,15361,Bursa Yıldırımspor,6517,2,0,True
793945,2021-09-29T12:00:00+00:00,AET,2nd Round,Tepecikspor,7424,Kırıkkale Büyük Anadolu,6531,2,2,False
793951,2021-09-29T12:00:00+00:00,PEN,2nd Round,Şile Yıldızspor,7430,İskenderunspor,7403,0,0,False
793955,2021-09-29T12:00:00+00:00,AET,2nd Round,İzmir Çoruhlu FK,11087,Sancaktepe Belediyespor,3604,1,1,False
793959,2021-09-29T12:30:00+00:00,FT,2nd Round,Hendek Spor,6521,Yeni Orduspor,7426,1,3,True
793947,2021-09-29T16:00:00+00:00,AET,2nd Round,Esenler Erokspor,7402,Osmaniyespor,7418,1,1,False
793957,2021-09-30T10:00:00+00:00,FT,2nd Round,Mardin 1969,6533,Gümüşhanespor,3591,1,0,True
793946,2021-09-30T11:00:00+00:00,PEN,2nd Round,Iğdır FK,17259,Elazığ Belediyespor FK,7400,0,0,False
793950,2021-09-30T11:30:00+00:00,AET,2nd Round,Hacettepe Spor,3592,Kahta 02 Spor,6525,1,3,False
793958,2021-09-30T12:30:00+00:00,PEN,2nd Round,Kütahyaspor,11092,Darıca Gençlerbirliği,3586,0,0,False
793941,2021-09-30T15:00:00+00:00,AET,2nd Round,Kardemir Karabukspor,1000,Karsiyaka,7409,1,3,False
801690,2021-10-26T10:00:00+00:00,FT,3rd Round,Ankaragücü,1010,Somaspor,6538,2,0,True
801685,2021-10-26T11:00:00+00:00,AET,3rd Round,Akhisarspor,995,İzmir Çoruhlu FK,11087,4,2,False
801703,2021-10-26T11:00:00+00:00,FT,3rd Round,Boluspor,3569,Çarşambaspor,6544,1,0,True
801666,2021-10-26T11:00:00+00:00,FT,3rd Round,Amed,3579,Tarsus İdman Yurdu,3607,3,2,True
801682,2021-10-26T11:00:00+00:00,FT,3rd Round,Eyüpspor,3588,Bucaspor 1928,7396,2,0,True
801673,2021-10-26T12:30:00+00:00,FT,3rd Round,Altay,3566,Güzide Gebzespor,6511,5,1,True
801691,2021-10-26T15:00:00+00:00,FT,3rd Round,Samsunspor,3603,Anadolu Selçukspor,3580,2,1,True
801684,2021-10-26T17:45:00+00:00,FT,3rd Round,Adanaspor,3564,Adıyaman 1954,11095,2,0,True
801702,2021-10-27T10:00:00+00:00,PEN,3rd Round,1461 Trabzon FK,6340,Düzcespor,7399,1,1,False
801693,2021-10-27T10:00:00+00:00,FT,3rd Round,Vanspor FK,6342,Zonguldak Kömürspor,3611,1,0,True
801697,2021-10-27T10:00:00+00:00,FT,3rd Round,Çorum FK,6343,Arnavutköy Belediyespor,15101,0,2,True
801672,2021-10-27T10:00:00+00:00,FT,3rd Round,24 Erzincanspor,7392,Yeni Orduspor,7426,1,3,True
801689,2021-10-27T10:00:00+00:00,AET,3rd Round,Kocaelispor,7411,Bayburt İÖİ,6338,2,0,False
801695,2021-10-27T10:00:00+00:00,FT,3rd Round,Turgutluspor,7425,Mardin 1969,6533,1,2,True
801696,2021-10-27T10:30:00+00:00,AET,3rd Round,Ankara Demirspor,3581,Yomraspor,7427,2,1,False
801677,2021-10-27T10:30:00+00:00,FT,3rd Round,Etimesgut SK,3587,Kahta 02 Spor,6525,0,1,True
801680,2021-10-27T10:30:00+00:00,PEN,3rd Round,Keçiörengücü,3595,Ağrı 1970,6509,0,0,False
801686,2021-10-27T10:30:00+00:00,FT,3rd Round,Kırşehir Belediyespor,6341,Darıca Gençlerbirliği,3586,3,2,True
801668,2021-10-27T10:30:00+00:00,FT,3rd Round,Serik Spor,7421,Pazarspor,7420,7,0,True
801683,2021-10-27T11:00:00+00:00,FT,3rd Round,Ankaraspor,780,İnegölspor,3612,2,0,True
801674,2021-10-27T11:00:00+00:00,FT,3rd Round,Afjet Afyonspor,3565,Sivas Belediyespor,3606,3,1,True
801694,2021-10-27T11:00:00+00:00,FT,3rd Round,Balıkesirspor,3568,Alanya 1221 FK,15361,0,2,True
801663,2021-10-27T11:00:00+00:00,PEN,3rd Round,Denizlispor,3570,Şile Yıldızspor,7430,1,1,False
801698,2021-10-27T11:00:00+00:00,FT,3rd Round,Eskişehirspor,3572,Iğdır FK,17259,0,2,True
801675,2021-10-27T11:00:00+00:00,FT,3rd Round,İstanbulspor,3578,Ergene Velimeşespor,6339,5,0,True
801681,2021-10-27T11:00:00+00:00,AET,3rd Round,Bodrum FK,3583,Isparta 32 Spor,6523,3,1,False
801699,2021-10-27T11:00:00+00:00,FT,3rd Round,Bandırmaspor,3584,Çankaya FK,7428,2,0,True
801670,2021-10-27T11:00:00+00:00,FT,3rd Round,Kırklarelispor,3596,Osmaniyespor,7418,0,1,True
801667,2021-10-27T11:00:00+00:00,FT,3rd Round,Manisa F.K.,3597,Fatsa Belediyespor,7404,1,0,True
801692,2021-10-27T11:00:00+00:00,FT,3rd Round,Menemen FK,3599,Karsiyaka,7409,1,0,True
801665,2021-10-27T11:00:00+00:00,FT,3rd Round,Sarıyer,3605,Edirnespor,6519,2,0,True
801678,2021-10-27T11:00:00+00:00,PEN,3rd Round,Uşak Spor,3610,Nevşehir Belediyespor,7416,1,1,False
801662,2021-10-27T11:00:00+00:00,FT,3rd Round,Karacabey Belediyespor,7407,Şanlıurfaspor,3613,1,2,True
801664,2021-10-27T12:30:00+00:00,PEN,3rd Round,Erzurumspor FK,1009,Nazilli Spor,7415,0,0,False
801688,2021-10-27T15:00:00+00:00,FT,3rd Round,Bursaspor,1003,Ceyhanspor,15100,6,1,True
801669,2021-10-27T17:45:00+00:00,AET,3rd Round,Kayserispor,1001,Artvin Hopaspor,7394,3,0,False
801671,2021-10-28T10:00:00+00:00,AET,3rd Round,Ümraniyespor,3577,Kahramanmaraşspor,3593,3,1,False
801661,2021-10-28T11:00:00+00:00,FT,3rd Round,Gençlerbirliği S.K.,997,Pendikspor,3601,3,1,True
801700,2021-10-28T11:00:00+00:00,AET,3rd Round,Altınordu,3567,Tepecikspor,7424,5,3,False
801676,2021-10-28T11:00:00+00:00,FT,3rd Round,Beykoz Anadolu,3609,68 Aksaray Belediyespor,6507,0,1,True
801679,2021-10-28T12:30:00+00:00,FT,3rd Round,Sakaryaspor,3602,Karaköprü Belediyespor,7408,2,1,True
801701,2021-10-28T15:00:00+00:00,FT,3rd Round,Antalyaspor,1005,Diyarbekirspor,7398,5,0,True
801687,2021-10-28T17:45:00+00:00,FT,3rd Round,Adana Demirspor,3563,Niğde Anadolu,3600,3,0,True
810841,2021-11-30T10:00:00+00:00,FT,4th Round,Kasımpaşa,1004,Alanya 1221 FK,15361,5,0,True
810844,2021-11-30T10:00:00+00:00,FT,4th Round,Bandırmaspor,3584,Şanlıurfaspor,3613,5,0,True
810824,2021-11-30T11:00:00+00:00,PEN,4th Round,Gençlerbirliği S.K.,997,Mardin 1969,6533,1,1,False
810828,2021-11-30T11:00:00+00:00,FT,4th Round,İstanbulspor,3578,Afjet Afyonspor,3565,2,3,True
810823,2021-11-30T12:00:00+00:00,AET,4th Round,Bursaspor,1003,Kırşehir Belediyespor,6341,2,1,False
810842,2021-11-30T12:00:00+00:00,FT,4th Round,Altay,3566,Manisa F.K.,3597,4,2,True
810836,2021-11-30T14:00:00+00:00,PEN,4th Round,Başakşehir,564,Bodrum FK,3583,1,1,False
810840,2021-11-30T16:00:00+00:00,FT,4th Round,Adana Demirspor,3563,Serik Spor,7421,5,0,True
810832,2021-11-30T18:00:00+00:00,FT,4th Round,Antalyaspor,1005,Amed,3579,4,0,True
810830,2021-12-01T10:00:00+00:00,FT,4th Round,Rizespor,1007,Ankaraspor,780,0,1,True
810837,2021-12-01T10:00:00+00:00,FT,4th Round,Altınordu,3567,68 Aksaray Belediyespor,6507,1,3,True
810829,2021-12-01T11:00:00+00:00,FT,4th Round,Boluspor,3569,Yeni Orduspor,7426,4,2,True
810845,2021-12-01T11:00:00+00:00,FT,4th Round,Denizlispor,3570,Ağrı 1970,6509,3,0,True
810843,2021-12-01T11:00:00+00:00,FT,4th Round,Samsunspor,3603,Uşak Spor,3610,4,0,True
810834,2021-12-01T12:00:00+00:00,FT,4th Round,Adanaspor,3564,Kocaelispor,7411,1,2,True
810827,2021-12-01T12:00:00+00:00,FT,4th Round,Fatih Karagümrük,3589,Sarıyer,3605,2,0,True
810839,2021-12-01T14:00:00+00:00,FT,4th Round,Alanyaspor,996,Osmaniyespor,7418,6,0,True
810826,2021-12-01T16:00:00+00:00,FT,4th Round,Kayserispor,1001,Iğdır FK,17259,4,0,True
810835,2021-12-01T18:00:00+00:00,PEN,4th Round,Hatayspor,3575,Eyüpspor,3588,1,1,False
810833,2021-12-02T10:00:00+00:00,FT,4th Round,Giresunspor,3574,Ankara Demirspor,3581,4,2,True
810838,2021-12-02T10:00:00+00:00,FT,4th Round,Ümraniyespor,3577,Arnavutköy Belediyespor,15101,3,2,True
810846,2021-12-02T11:00:00+00:00,FT,4th Round,Menemen FK,3599,1461 Trabzon FK,6340,3,0,True
810847,2021-12-02T12:00:00+00:00,AET,4th Round,Yeni Malatyaspor,999,Akhisarspor,995,3,1,False
810822,2021-12-02T12:00:00+00:00,FT,4th Round,Ankaragücü,1010,Nazilli Spor,7415,3,0,True
810825,2021-12-02T14:00:00+00:00,FT,4th Round,Göztepe,994,Kahta 02 Spor,6525,5,0,True
810831,2021-12-02T16:00:00+00:00,FT,4th Round,Konyaspor,607,Vanspor FK,6342,3,1,True
810848,2021-12-02T18:00:00+00:00,FT,4th Round,Gaziantep FK,3573,Sakaryaspor,3602,3,1,True
814836,2021-12-28T10:00:00+00:00,AET,5th Round,Kasımpaşa,1004,Kocaelispor,7411,5,3,False
814827,2021-12-28T12:00:00+00:00,FT,5th Round,Hatayspor,3575,Menemen FK,3599,1,0,True
814831,2021-12-28T14:00:00+00:00,FT,5th Round,Antalyaspor,1005,Giresunspor,3574,2,1,True
814838,2021-12-28T15:30:00+00:00,FT,5th Round,Trabzonspor,998,Boluspor,3569,1,0,True
814832,2021-12-28T18:00:00+00:00,PEN,5th Round,Galatasaray,645,Denizlispor,3570,3,3,False
814828,2021-12-29T10:00:00+00:00,FT,5th Round,Alanyaspor,996,Mardin 1969,6533,5,0,True
814839,2021-12-29T12:00:00+00:00,FT,5th Round,Fatih Karagümrük,3589,Bodrum FK,3583,4,0,True
814826,2021-12-29T14:00:00+00:00,FT,5th Round,Adana Demirspor,3563,Ankaraspor,780,3,2,True
814834,2021-12-29T15:30:00+00:00,FT,5th Round,Göztepe,994,Samsunspor,3603,1,0,True
818557,2021-12-29T18:00:00+00:00,AET,5th Round,Fenerbahçe,611,Afjet Afyonspor,3565,2,0,False
814837,2021-12-30T10:00:00+00:00,FT,5th Round,Yeni Malatyaspor,999,Bandırmaspor,3584,2,3,True
814835,2021-12-30T12:00:00+00:00,FT,5th Round,Konyaspor,607,Ümraniyespor,3577,2,0,True
814840,2021-12-30T12:00:00+00:00,FT,5th Round,Kayserispor,1001,68 Aksaray Belediyespor,6507,4,0,True
814830,2021-12-30T14:00:00+00:00,FT,5th Round,Sivasspor,1002,Ankaragücü,1010,2,1,True
814833,2021-12-30T15:30:00+00:00,PEN,5th Round,Gaziantep FK,3573,Bursaspor,1003,1,1,False
814829,2021-12-30T18:00:00+00:00,FT,5th Round,Beşiktaş,549,Altay,3566,1,0,True
825263,2022-02-08T11:30:00+00:00,FT,Round of 16,Kasımpaşa,1004,Gaziantep FK,3573,1,2,True
825262,2022-02-08T14:30:00+00:00,AET,Round of 16,Fatih Karagümrük,3589,Konyaspor,607,5,4,False
825264,2022-02-08T17:30:00+00:00,FT,Round of 16,Fenerbahçe,611,Kayserispor,1001,0,1,True
825266,2022-02-09T10:30:00+00:00,FT,Round of 16,Bandırmaspor,3584,Sivasspor,1002,2,4,True
825265,2022-02-09T14:30:00+00:00,FT,Round of 16,Hatayspor,3575,Antalyaspor,1005,0,2,True
825267,2022-02-09T17:30:00+00:00,FT,Round of 16,Denizlispor,3570,Trabzonspor,998,1,2,True
825261,2022-02-10T14:30:00+00:00,PEN,Round of 16,Alanyaspor,996,Adana Demirspor,3563,1,1,False
825268,2022-02-10T17:30:00+00:00,PEN,Round of 16,Beşiktaş,549,Göztepe,994,0,0,False
840865,2022-03-01T17:30:00+00:00,FT,Quarter-finals,Trabzonspor,998,Antalyaspor,1005,2,0,True
840866,2022-03-02T14:00:00+00:00,FT,Quarter-finals,Sivasspor,1002,Fatih Karagümrük,3589,1,0,True
840868,2022-03-02T17:30:00+00:00,FT,Quarter-finals,Beşiktaş,549,Kayserispor,1001,1,2,True
