fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1548070,2026-06-04T15:00:00+00:00,CANC,Polissya II,24589,Vorskla Poltava,1121,,,False
1548071,2026-06-10T15:00:00+00:00,CANC,Vorskla Poltava,1121,Polissya II,24589,,,False
1400416,2025-08-01T09:00:00+00:00,FT,UCSA,21957,Podillya Khmelnytskyi,6495,1,0,True
1400418,2025-08-01T11:00:00+00:00,FT,Viktoriya Mykolaivka,13223,Prykarpattia,3631,0,2,True
1400415,2025-08-01T13:00:00+00:00,FT,Ahrobiznes Volochysk,3620,Livyi Bereh,17162,2,0,True
1400414,2025-08-02T10:00:00+00:00,FT,Inhulets,3625,Bukovyna,6486,0,0,True
1400411,2025-08-02T11:45:00+00:00,FT,Vorskla Poltava,1121,Yarud Mariupol',14441,2,1,True
1400413,2025-08-03T11:00:00+00:00,FT,Probiy Horodenka,24568,Chernihiv,14433,1,0,True
1400426,2025-08-08T12:00:00+00:00,FT,Vorskla Poltava,1121,UCSA,21957,3,0,True
1400420,2025-08-09T09:30:00+00:00,FT,Chernihiv,14433,Viktoriya Mykolaivka,13223,1,2,True
1400421,2025-08-09T12:00:00+00:00,FT,Bukovyna,6486,Ahrobiznes Volochysk,3620,0,0,True
1400422,2025-08-09T14:00:00+00:00,FT,Livyi Bereh,17162,Probiy Horodenka,24568,3,1,True
1400419,2025-08-10T09:00:00+00:00,FT,Metal Kharkiv,14437,Inhulets,3625,1,2,True
1400423,2025-08-10T10:45:00+00:00,FT,Podillya Khmelnytskyi,6495,Chornomorets,3615,0,2,True
1400424,2025-08-10T12:30:00+00:00,FT,Nyva Ternopil,6493,Metalurh Zaporizhya,5627,1,0,True
1400425,2025-08-11T11:00:00+00:00,FT,Yarud Mariupol',14441,Prykarpattia,3631,0,2,True
1400432,2025-08-15T10:00:00+00:00,FT,Viktoriya Mykolaivka,13223,Livyi Bereh,17162,1,2,True
1400433,2025-08-15T12:30:00+00:00,FT,Probiy Horodenka,24568,Bukovyna,6486,3,4,True
1400431,2025-08-16T10:00:00+00:00,FT,Metalurh Zaporizhya,5627,Podillya Khmelnytskyi,6495,1,1,True
1400429,2025-08-16T12:00:00+00:00,FT,Ahrobiznes Volochysk,3620,Metal Kharkiv,14437,1,0,True
1400430,2025-08-16T14:00:00+00:00,FT,Chornomorets,3615,Vorskla Poltava,1121,0,0,True
1400427,2025-08-17T09:00:00+00:00,FT,Prykarpattia,3631,Chernihiv,14433,0,3,True
1400428,2025-08-17T11:00:00+00:00,FT,UCSA,21957,Yarud Mariupol',14441,0,0,True
1400434,2025-08-17T13:00:00+00:00,FT,Inhulets,3625,Nyva Ternopil,6493,2,2,True
1400436,2025-08-29T10:00:00+00:00,FT,UCSA,21957,Chornomorets,3615,0,1,True
1400435,2025-08-29T12:30:00+00:00,FT,Livyi Bereh,17162,Prykarpattia,3631,2,1,True
1400439,2025-08-30T09:00:00+00:00,FT,Bukovyna,6486,Viktoriya Mykolaivka,13223,2,0,True
1400438,2025-08-30T11:00:00+00:00,FT,Vorskla Poltava,1121,Metalurh Zaporizhya,5627,0,1,True
1400442,2025-08-30T13:00:00+00:00,FT,Metal Kharkiv,14437,Probiy Horodenka,24568,1,1,True
1400437,2025-08-31T09:00:00+00:00,FT,Yarud Mariupol',14441,Chernihiv,14433,1,0,True
1400441,2025-08-31T11:30:00+00:00,FT,Podillya Khmelnytskyi,6495,Inhulets,3625,1,5,True
1400440,2025-08-31T14:00:00+00:00,FT,Nyva Ternopil,6493,Ahrobiznes Volochysk,3620,0,0,True
1400444,2025-09-05T10:30:00+00:00,FT,Prykarpattia,3631,Bukovyna,6486,1,2,True
1400449,2025-09-05T13:00:00+00:00,FT,Probiy Horodenka,24568,Nyva Ternopil,6493,1,2,True
1400445,2025-09-06T09:00:00+00:00,FT,Viktoriya Mykolaivka,13223,Metal Kharkiv,14437,1,0,True
1400447,2025-09-06T13:00:00+00:00,FT,Ahrobiznes Volochysk,3620,Podillya Khmelnytskyi,6495,2,1,True
1400443,2025-09-07T09:00:00+00:00,FT,Metalurh Zaporizhya,5627,UCSA,21957,0,3,True
1400450,2025-09-07T11:00:00+00:00,FT,Inhulets,3625,Vorskla Poltava,1121,3,0,True
1400448,2025-09-07T13:00:00+00:00,FT,Chornomorets,3615,Yarud Mariupol',14441,2,0,True
1400453,2025-09-11T13:00:00+00:00,FT,Yarud Mariupol',14441,Livyi Bereh,17162,1,0,True
1400455,2025-09-12T10:00:00+00:00,FT,Podillya Khmelnytskyi,6495,Probiy Horodenka,24568,1,1,True
1400451,2025-09-12T12:00:00+00:00,FT,Bukovyna,6486,Chernihiv,14433,4,1,True
1400458,2025-09-13T09:00:00+00:00,FT,Metal Kharkiv,14437,Prykarpattia,3631,2,2,True
1400452,2025-09-13T11:00:00+00:00,FT,Nyva Ternopil,6493,Viktoriya Mykolaivka,13223,2,1,True
1400456,2025-09-13T13:00:00+00:00,FT,Chornomorets,3615,Metalurh Zaporizhya,5627,3,0,True
1400457,2025-09-14T10:00:00+00:00,FT,Vorskla Poltava,1121,Ahrobiznes Volochysk,3620,0,0,True
1400454,2025-09-14T12:00:00+00:00,FT,UCSA,21957,Inhulets,3625,0,0,True
1400463,2025-09-19T10:00:00+00:00,FT,Ahrobiznes Volochysk,3620,UCSA,21957,1,0,True
1400462,2025-09-20T09:30:00+00:00,FT,Inhulets,3625,Chornomorets,3615,2,3,True
1400460,2025-09-20T11:30:00+00:00,FT,Probiy Horodenka,24568,Vorskla Poltava,1121,0,2,True
1400466,2025-09-21T09:00:00+00:00,FT,Viktoriya Mykolaivka,13223,Podillya Khmelnytskyi,6495,0,0,True
1400461,2025-09-21T10:00:00+00:00,FT,Metalurh Zaporizhya,5627,Yarud Mariupol',14441,1,1,True
1400459,2025-09-22T11:00:00+00:00,FT,Prykarpattia,3631,Nyva Ternopil,6493,1,1,True
1400464,2025-09-22T13:00:00+00:00,FT,Livyi Bereh,17162,Bukovyna,6486,1,3,True
1400417,2025-09-25T09:00:00+00:00,FT,Metalurh Zaporizhya,5627,Metal Kharkiv,14437,1,3,True
1400469,2025-09-27T09:00:00+00:00,FT,UCSA,21957,Probiy Horodenka,24568,0,0,True
1400474,2025-09-27T11:00:00+00:00,FT,Vorskla Poltava,1121,Viktoriya Mykolaivka,13223,1,1,True
1400468,2025-09-28T11:30:00+00:00,FT,Nyva Ternopil,6493,Chernihiv,14433,2,0,True
1400467,2025-09-28T13:30:00+00:00,FT,Chornomorets,3615,Ahrobiznes Volochysk,3620,1,0,True
1400470,2025-09-29T10:00:00+00:00,FT,Metal Kharkiv,14437,Livyi Bereh,17162,0,1,True
1400472,2025-09-29T10:45:00+00:00,FT,Metalurh Zaporizhya,5627,Inhulets,3625,0,0,True
1400471,2025-09-29T12:30:00+00:00,FT,Yarud Mariupol',14441,Bukovyna,6486,2,3,True
1400475,2025-10-03T09:00:00+00:00,FT,Prykarpattia,3631,Vorskla Poltava,1121,1,0,True
1400477,2025-10-03T11:00:00+00:00,FT,Inhulets,3625,Yarud Mariupol',14441,2,0,True
1400476,2025-10-04T08:30:00+00:00,FT,Chernihiv,14433,Podillya Khmelnytskyi,6495,1,1,True
1400482,2025-10-04T09:30:00+00:00,FT,Ahrobiznes Volochysk,3620,Metalurh Zaporizhya,5627,3,0,True
1400481,2025-10-04T10:00:00+00:00,FT,Probiy Horodenka,24568,Chornomorets,3615,0,2,True
1400478,2025-10-04T10:30:00+00:00,FT,Bukovyna,6486,Metal Kharkiv,14437,2,0,True
1400480,2025-10-04T12:30:00+00:00,FT,Livyi Bereh,17162,Nyva Ternopil,6493,0,0,True
1400479,2025-10-05T09:00:00+00:00,FT,Viktoriya Mykolaivka,13223,UCSA,21957,2,0,True
1400483,2025-10-08T09:00:00+00:00,FT,Vorskla Poltava,1121,Chernihiv,14433,0,1,True
1400489,2025-10-08T10:00:00+00:00,FT,Inhulets,3625,Ahrobiznes Volochysk,3620,3,2,True
1400490,2025-10-08T11:00:00+00:00,FT,Metalurh Zaporizhya,5627,Probiy Horodenka,24568,0,1,True
1400487,2025-10-08T12:00:00+00:00,FT,Podillya Khmelnytskyi,6495,Livyi Bereh,17162,0,2,True
1400485,2025-10-08T13:00:00+00:00,FT,Nyva Ternopil,6493,Bukovyna,6486,1,2,True
1400488,2025-10-09T09:00:00+00:00,FT,UCSA,21957,Prykarpattia,3631,3,1,True
1400486,2025-10-09T10:15:00+00:00,FT,Yarud Mariupol',14441,Metal Kharkiv,14437,0,1,True
1400484,2025-10-09T11:30:00+00:00,FT,Chornomorets,3615,Viktoriya Mykolaivka,13223,0,0,True
1400496,2025-10-12T10:00:00+00:00,FT,Bukovyna,6486,Podillya Khmelnytskyi,6495,2,0,True
1400497,2025-10-12T12:00:00+00:00,FT,Probiy Horodenka,24568,Inhulets,3625,0,1,True
1400495,2025-10-13T09:30:00+00:00,FT,Chernihiv,14433,UCSA,21957,2,0,True
1400494,2025-10-13T10:30:00+00:00,FT,Prykarpattia,3631,Chornomorets,3615,1,1,True
1400492,2025-10-13T11:15:00+00:00,FT,Livyi Bereh,17162,Vorskla Poltava,1121,2,0,True
1400498,2025-10-13T12:15:00+00:00,FT,Metal Kharkiv,14437,Nyva Ternopil,6493,1,2,True
1400493,2025-10-14T09:00:00+00:00,FT,Viktoriya Mykolaivka,13223,Metalurh Zaporizhya,5627,3,0,True
1400491,2025-10-14T11:00:00+00:00,FT,Ahrobiznes Volochysk,3620,Yarud Mariupol',14441,1,0,True
1400501,2025-10-18T09:00:00+00:00,FT,Vorskla Poltava,1121,Bukovyna,6486,0,2,True
1400502,2025-10-18T11:00:00+00:00,FT,Podillya Khmelnytskyi,6495,Metal Kharkiv,14437,0,2,True
1400505,2025-10-19T08:30:00+00:00,FT,Metalurh Zaporizhya,5627,Prykarpattia,3631,0,3,True
1400503,2025-10-19T09:30:00+00:00,FT,Ahrobiznes Volochysk,3620,Probiy Horodenka,24568,0,3,True
1400504,2025-10-19T10:30:00+00:00,FT,Inhulets,3625,Viktoriya Mykolaivka,13223,4,2,True
1400499,2025-10-19T11:30:00+00:00,FT,Yarud Mariupol',14441,Nyva Ternopil,6493,0,2,True
1400500,2025-10-19T12:30:00+00:00,FT,Chornomorets,3615,Chernihiv,14433,1,0,True
1400506,2025-10-20T11:00:00+00:00,FT,UCSA,21957,Livyi Bereh,17162,0,1,True
1400509,2025-10-24T11:00:00+00:00,FT,Bukovyna,6486,UCSA,21957,4,1,True
1400511,2025-10-24T13:30:00+00:00,FT,Nyva Ternopil,6493,Podillya Khmelnytskyi,6495,0,1,True
1400507,2025-10-25T09:00:00+00:00,FT,Viktoriya Mykolaivka,13223,Ahrobiznes Volochysk,3620,1,2,True
1400512,2025-10-25T10:00:00+00:00,FT,Prykarpattia,3631,Inhulets,3625,0,2,True
1400514,2025-10-25T11:00:00+00:00,FT,Probiy Horodenka,24568,Yarud Mariupol',14441,0,0,True
1400513,2025-10-26T11:00:00+00:00,FT,Metal Kharkiv,14437,Vorskla Poltava,1121,1,1,True
1400508,2025-10-26T12:00:00+00:00,FT,Livyi Bereh,17162,Chornomorets,3615,1,1,True
1400517,2025-11-01T10:00:00+00:00,FT,Metalurh Zaporizhya,5627,Livyi Bereh,17162,0,5,True
1400522,2025-11-01T11:00:00+00:00,FT,UCSA,21957,Metal Kharkiv,14437,2,1,True
1400520,2025-11-02T10:00:00+00:00,FT,Probiy Horodenka,24568,Viktoriya Mykolaivka,13223,3,2,True
1400516,2025-11-02T12:00:00+00:00,FT,Inhulets,3625,Chernihiv,14433,1,1,True
1400521,2025-11-02T13:00:00+00:00,FT,Vorskla Poltava,1121,Nyva Ternopil,6493,2,0,True
1400518,2025-11-02T14:00:00+00:00,FT,Chornomorets,3615,Bukovyna,6486,1,2,True
1400515,2025-11-03T12:00:00+00:00,FT,Ahrobiznes Volochysk,3620,Prykarpattia,3631,3,1,True
1400519,2025-11-04T11:00:00+00:00,FT,Yarud Mariupol',14441,Podillya Khmelnytskyi,6495,0,1,True
1400523,2025-11-07T12:00:00+00:00,FT,Livyi Bereh,17162,Inhulets,3625,1,0,True
1400527,2025-11-08T09:00:00+00:00,FT,Viktoriya Mykolaivka,13223,Yarud Mariupol',14441,1,2,True
1400529,2025-11-08T09:30:00+00:00,FT,Chernihiv,14433,Ahrobiznes Volochysk,3620,0,2,True
1400530,2025-11-08T11:00:00+00:00,FT,Metal Kharkiv,14437,Chornomorets,3615,1,1,True
1400526,2025-11-08T12:00:00+00:00,FT,Bukovyna,6486,Metalurh Zaporizhya,5627,3,0,True
1400525,2025-11-09T10:00:00+00:00,FT,Podillya Khmelnytskyi,6495,Vorskla Poltava,1121,1,1,True
1400528,2025-11-09T11:00:00+00:00,FT,Prykarpattia,3631,Probiy Horodenka,24568,1,0,True
1400524,2025-11-09T12:00:00+00:00,FT,Nyva Ternopil,6493,UCSA,21957,1,4,True
1400446,2025-11-12T11:00:00+00:00,FT,Livyi Bereh,17162,Chernihiv,14433,1,1,True
1400537,2025-11-15T10:00:00+00:00,FT,Podillya Khmelnytskyi,6495,UCSA,21957,1,2,True
1400535,2025-11-15T11:00:00+00:00,FT,Metal Kharkiv,14437,Metalurh Zaporizhya,5627,1,0,True
1400534,2025-11-15T11:30:00+00:00,FT,Bukovyna,6486,Inhulets,3625,1,1,True
1400538,2025-11-16T10:30:00+00:00,FT,Prykarpattia,3631,Viktoriya Mykolaivka,13223,1,1,True
1400533,2025-11-16T11:30:00+00:00,FT,Yarud Mariupol',14441,Vorskla Poltava,1121,2,0,True
1400532,2025-11-16T12:30:00+00:00,FT,Nyva Ternopil,6493,Chornomorets,3615,0,1,True
1400531,2025-11-17T11:00:00+00:00,FT,Livyi Bereh,17162,Ahrobiznes Volochysk,3620,4,1,True
1400541,2025-11-22T10:30:00+00:00,FT,Inhulets,3625,Metal Kharkiv,14437,3,0,True
1400542,2025-11-22T11:15:00+00:00,FT,UCSA,21957,Vorskla Poltava,1121,1,1,True
1400544,2025-11-22T12:00:00+00:00,FT,Chornomorets,3615,Podillya Khmelnytskyi,6495,4,1,True
1400540,2025-11-23T09:30:00+00:00,FT,Viktoriya Mykolaivka,13223,Chernihiv,14433,3,0,True
1400546,2025-11-23T10:15:00+00:00,FT,Ahrobiznes Volochysk,3620,Bukovyna,6486,0,3,True
1400539,2025-11-23T11:00:00+00:00,FT,Probiy Horodenka,24568,Livyi Bereh,17162,0,2,True
1400543,2025-11-23T12:00:00+00:00,FT,Prykarpattia,3631,Yarud Mariupol',14441,3,0,True
1400554,2025-11-28T11:00:00+00:00,FT,Livyi Bereh,17162,Viktoriya Mykolaivka,13223,3,0,True
1400547,2025-11-29T09:00:00+00:00,FT,Chernihiv,14433,Prykarpattia,3631,1,0,True
1400548,2025-11-29T10:00:00+00:00,FT,Podillya Khmelnytskyi,6495,Metalurh Zaporizhya,5627,3,0,True
1400550,2025-11-29T11:00:00+00:00,FT,Bukovyna,6486,Probiy Horodenka,24568,3,1,True
1400553,2025-11-29T12:00:00+00:00,FT,Vorskla Poltava,1121,Chornomorets,3615,3,0,True
1400549,2025-11-30T09:00:00+00:00,FT,Yarud Mariupol',14441,UCSA,21957,1,1,True
