fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1062535,2023-07-28T14:00:00+00:00,FT,Regular Season - 1,Obolon'-Brovar,3630,Kolos Kovalivka,3627,0,0,True
1062533,2023-07-28T16:00:00+00:00,FT,Regular Season - 1,Veres Rivne,6501,Polessya,6496,0,2,True
1062539,2023-07-29T12:00:00+00:00,FT,Regular Season - 1,Ruh Lviv,3632,Zorya Luhansk,599,2,1,True
1062532,2023-07-29T14:00:00+00:00,FT,Regular Season - 1,FC Kharkiv,3628,Shakhtar Donetsk,550,1,2,True
1062534,2023-07-30T12:00:00+00:00,FT,Regular Season - 1,LNZ Cherkasy,17161,Chornomorets,3615,0,2,True
1062538,2023-07-30T14:00:00+00:00,FT,Regular Season - 1,Dynamo Kyiv,572,Minai,4658,4,1,True
1062536,2023-07-30T16:00:00+00:00,FT,Regular Season - 1,Oleksandria,3619,Kryvbas KR,6489,1,0,True
1062547,2023-08-02T14:00:00+00:00,FT,Regular Season - 2,Veres Rivne,6501,Shakhtar Donetsk,550,1,1,True
1062545,2023-08-04T14:00:00+00:00,FT,Regular Season - 2,Obolon'-Brovar,3630,Dynamo Kyiv,572,2,4,True
1062541,2023-08-05T12:00:00+00:00,FT,Regular Season - 2,Minai,4658,LNZ Cherkasy,17161,0,3,True
1062542,2023-08-05T16:00:00+00:00,FT,Regular Season - 2,Oleksandria,3619,FC Kharkiv,3628,1,0,True
1062543,2023-08-06T12:00:00+00:00,FT,Regular Season - 2,Dnipro-1,3623,Polessya,6496,2,1,True
1062544,2023-08-06T14:00:00+00:00,FT,Regular Season - 2,Zorya Luhansk,599,Kryvbas KR,6489,1,3,True
1062540,2023-08-06T14:00:00+00:00,FT,Regular Season - 2,Kolos Kovalivka,3627,Chornomorets,3615,2,0,True
1062546,2023-08-06T16:00:00+00:00,FT,Regular Season - 2,Ruh Lviv,3632,Vorskla Poltava,1121,4,1,True
1062548,2023-08-12T12:00:00+00:00,FT,Regular Season - 3,Chornomorets,3615,Obolon'-Brovar,3630,2,0,True
1062549,2023-08-12T14:00:00+00:00,FT,Regular Season - 3,Kolos Kovalivka,3627,Veres Rivne,6501,2,0,True
1062554,2023-08-12T14:00:00+00:00,FT,Regular Season - 3,Polessya,6496,Ruh Lviv,3632,0,1,True
1062551,2023-08-13T10:00:00+00:00,FT,Regular Season - 3,Minai,4658,Dnipro-1,3623,1,1,True
1062552,2023-08-13T12:00:00+00:00,FT,Regular Season - 3,Vorskla Poltava,1121,Zorya Luhansk,599,1,2,True
1062550,2023-08-13T14:00:00+00:00,FT,Regular Season - 3,Kryvbas KR,6489,LNZ Cherkasy,17161,2,0,True
