fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1423394,2025-08-30T13:55:00+00:00,FT,1st Round,Al-Dhafra,2873,Al-Wasl FC,2872,1,5,True
1423393,2025-08-30T13:55:00+00:00,FT,1st Round,Al Nasr,10155,Al Bataeh,9136,0,0,True
1423395,2025-08-30T16:30:00+00:00,FT,1st Round,Al Ain,2865,Al-Ittihad Kalba,2876,1,1,True
1423396,2025-08-31T13:55:00+00:00,FT,1st Round,Dibba Al-Fujairah,2867,Sharjah FC,2874,0,1,True
1423397,2025-08-31T13:55:00+00:00,FT,1st Round,Khorfakkan,4912,Baniyas SC,2877,2,2,True
1423398,2025-08-31T16:30:00+00:00,FT,1st Round,Al Wahda FC,2875,Ajman,2879,1,1,True
1423399,2025-09-05T13:50:00+00:00,PEN,1st Round,Al-Ittihad Kalba,2876,Al Ain,2865,0,0,False
1423400,2025-09-05T13:50:00+00:00,FT,1st Round,Al Bataeh,9136,Al Nasr,10155,2,3,True
1423401,2025-09-05T16:30:00+00:00,FT,1st Round,Al-Wasl FC,2872,Al-Dhafra,2873,4,2,True
1423402,2025-09-06T13:50:00+00:00,FT,1st Round,Sharjah FC,2874,Dibba Al-Fujairah,2867,2,0,True
1423403,2025-09-06T13:50:00+00:00,FT,1st Round,Baniyas SC,2877,Khorfakkan,4912,0,1,True
1423404,2025-09-06T16:30:00+00:00,FT,1st Round,Ajman,2879,Al Wahda FC,2875,2,4,True
1489278,2025-11-15T12:50:00+00:00,FT,2nd Round,Al Wahda FC,2875,Khorfakkan,4912,2,2,True
1489279,2025-11-15T15:30:00+00:00,FT,2nd Round,Sharjah FC,2874,Al Ain,2865,1,3,True
1489280,2025-11-16T12:50:00+00:00,FT,2nd Round,Shabab Al Ahli Dubai,2870,Al Nasr,10155,2,1,True
1489281,2025-11-16T15:30:00+00:00,FT,2nd Round,Al-Jazira,2871,Al-Wasl FC,2872,0,0,True
1489282,2025-11-29T12:40:00+00:00,PEN,2nd Round,Al Nasr,10155,Shabab Al Ahli Dubai,2870,3,2,False
1489283,2025-11-29T15:30:00+00:00,FT,2nd Round,Al Ain,2865,Sharjah FC,2874,4,1,True
1489284,2025-11-30T12:40:00+00:00,FT,2nd Round,Khorfakkan,4912,Al Wahda FC,2875,1,2,True
1489285,2025-11-30T15:30:00+00:00,FT,2nd Round,Al-Wasl FC,2872,Al-Jazira,2871,1,2,True
1489286,2025-12-05T12:50:00+00:00,FT,Semi-finals,Al Nasr,10155,Al Ain,2865,0,3,True
1489287,2025-12-05T15:30:00+00:00,FT,Semi-finals,Al-Jazira,2871,Al Wahda FC,2875,0,3,True
1489288,2025-12-13T12:50:00+00:00,FT,Semi-finals,Al Wahda FC,2875,Al-Jazira,2871,0,1,True
1489289,2025-12-13T15:30:00+00:00,FT,Semi-finals,Al Ain,2865,Al Nasr,10155,0,2,True
1538429,2026-05-01T16:45:00+00:00,PEN,Final,Al Ain,2865,Al Wahda FC,2875,0,0,False
