fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1468462,2025-09-13T13:35:00+00:00,PEN,Hatta SC,2869,Dubai City,17713,0,0,False
1468461,2025-09-13T13:35:00+00:00,FT,Al Arabi,9135,Al Fujairah SC,2880,4,2,True
1468463,2025-09-13T13:35:00+00:00,FT,Dibba Al Hisn,9140,Al Jazira Al Hamra,13265,2,0,True
1468466,2025-09-14T13:35:00+00:00,FT,Al Thaid,9138,Gulf United,22322,2,1,True
1468465,2025-09-14T13:35:00+00:00,FT,Al Urooba,9139,Emirates Club,2868,2,0,True
1468464,2025-09-14T13:35:00+00:00,PEN,Masfut,9142,Majd,24591,0,0,False
1468467,2025-09-14T13:40:00+00:00,FT,Dubai United,22321,Ittifaq,26612,2,0,True
1472265,2025-09-24T13:20:00+00:00,FT,Dibba Al Hisn,9140,Al Arabi,9135,2,0,True
1472266,2025-09-24T13:25:00+00:00,FT,Al Hamriyah,9137,Hatta SC,2869,1,0,True
1472267,2025-09-24T13:25:00+00:00,FT,Dubai United,22321,Al Thaid,9138,1,0,True
1472268,2025-09-24T13:25:00+00:00,FT,Majd,24591,Al Urooba,9139,2,3,True
1477144,2025-10-03T13:15:00+00:00,FT,Al Hamriyah,9137,Al Urooba,9139,3,0,True
1477145,2025-10-03T13:15:00+00:00,FT,Dibba Al Hisn,9140,Dubai United,22321,1,2,True
1482399,2025-10-24T12:55:00+00:00,PEN,Sharjah FC,2874,Dubai United,22321,1,1,False
1477146,2025-10-24T16:00:00+00:00,AET,Al Wahda FC,2875,Al-Dhafra,2873,3,1,False
1477148,2025-10-25T12:55:00+00:00,FT,Khorfakkan,4912,Al-Ittihad Kalba,2876,2,0,True
1477147,2025-10-25T12:55:00+00:00,PEN,Al Bataeh,9136,Shabab Al Ahli Dubai,2870,0,0,False
1477149,2025-10-25T16:00:00+00:00,FT,Al Nasr,10155,Baniyas SC,2877,0,2,True
1477150,2025-10-26T12:55:00+00:00,PEN,Dibba Al-Fujairah,2867,Al-Wasl FC,2872,1,1,False
1482400,2025-10-26T12:55:00+00:00,FT,Al Hamriyah,9137,Al Ain,2865,0,7,True
1477151,2025-10-26T16:00:00+00:00,FT,Al-Jazira,2871,Ajman,2879,2,1,True
1485076,2026-01-31T14:30:00+00:00,FT,Dibba Al-Fujairah,2867,Al Ain,2865,0,3,True
1485077,2026-02-01T13:15:00+00:00,FT,Shabab Al Ahli Dubai,2870,Khorfakkan,4912,3,1,True
1485078,2026-02-01T16:00:00+00:00,AET,Al Wahda FC,2875,Dubai United,22321,2,4,False
1485079,2026-02-02T14:35:00+00:00,FT,Baniyas SC,2877,Al-Jazira,2871,1,2,True
1519500,2026-03-21T14:55:00+00:00,FT,Al-Jazira,2871,Shabab Al Ahli Dubai,2870,1,0,True
1519501,2026-03-22T15:00:00+00:00,AET,Dubai United,22321,Al Ain,2865,0,2,False
1542720,2026-05-22T15:40:00+00:00,FT,Al-Jazira,2871,Al Ain,2865,1,4,True
