fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1515970,2026-02-27T13:00:00+00:00,FT,Regular Season - 1,Buxoro,4211,Kokand-1912,4212,1,0,True
1515969,2026-02-27T13:45:00+00:00,FT,Regular Season - 1,Andijan,4209,Sogdiana,4223,4,0,True
1515971,2026-02-27T14:00:00+00:00,FT,Regular Season - 1,Pakhtakor,4220,Qizilqum,4221,2,0,True
1515974,2026-02-28T13:45:00+00:00,FT,Regular Season - 1,Neftchi,4217,Mash'al,4213,3,0,True
1515973,2026-02-28T14:00:00+00:00,FT,Regular Season - 1,Lokomotiv,3695,Surkhon,4225,3,1,True
1515972,2026-02-28T14:15:00+00:00,FT,Regular Season - 1,Dinamo Samarqand,4224,Navbahor,4216,1,2,True
1515976,2026-03-01T14:00:00+00:00,FT,Regular Season - 1,Olmaliq,4219,Bunyodkor,4210,0,1,True
1515975,2026-03-01T14:15:00+00:00,FT,Regular Season - 1,Nasaf,4215,Xorazm,16381,1,0,True
1515977,2026-03-04T13:45:00+00:00,FT,Regular Season - 2,Kokand-1912,4212,Pakhtakor,4220,1,2,True
1515978,2026-03-04T14:15:00+00:00,FT,Regular Season - 2,Qizilqum,4221,Andijan,4209,2,1,True
1515980,2026-03-05T14:00:00+00:00,FT,Regular Season - 2,Navbahor,4216,Buxoro,4211,0,1,True
1515979,2026-03-05T14:15:00+00:00,FT,Regular Season - 2,Mash'al,4213,Lokomotiv,3695,0,2,True
1515981,2026-03-05T14:30:00+00:00,FT,Regular Season - 2,Surkhon,4225,Neftchi,4217,0,3,True
1515982,2026-03-06T14:00:00+00:00,FT,Regular Season - 2,Bunyodkor,4210,Dinamo Samarqand,4224,1,2,True
1515983,2026-03-06T14:15:00+00:00,FT,Regular Season - 2,Sogdiana,4223,Nasaf,4215,0,2,True
1515984,2026-03-06T14:30:00+00:00,FT,Regular Season - 2,Xorazm,16381,Olmaliq,4219,1,0,True
1515986,2026-03-10T14:00:00+00:00,FT,Regular Season - 3,Neftchi,4217,Andijan,4209,3,0,True
1515985,2026-03-10T14:45:00+00:00,FT,Regular Season - 3,Mash'al,4213,Qizilqum,4221,0,2,True
1515987,2026-03-10T15:00:00+00:00,FT,Regular Season - 3,Pakhtakor,4220,Navbahor,4216,0,2,True
1515990,2026-03-11T11:30:00+00:00,FT,Regular Season - 3,Surkhon,4225,Bunyodkor,4210,0,0,True
1515989,2026-03-11T14:30:00+00:00,FT,Regular Season - 3,Lokomotiv,3695,Kokand-1912,4212,0,0,True
1515988,2026-03-11T14:45:00+00:00,FT,Regular Season - 3,Buxoro,4211,Xorazm,16381,1,1,True
1515992,2026-03-12T14:30:00+00:00,FT,Regular Season - 3,Olmaliq,4219,Sogdiana,4223,2,2,True
1515991,2026-03-12T15:00:00+00:00,FT,Regular Season - 3,Dinamo Samarqand,4224,Nasaf,4215,1,1,True
1515993,2026-03-18T14:15:00+00:00,FT,Regular Season - 4,Kokand-1912,4212,Navbahor,4216,2,1,True
1515995,2026-03-18T14:15:00+00:00,FT,Regular Season - 4,Xorazm,16381,Bunyodkor,4210,1,2,True
1515994,2026-03-18T15:00:00+00:00,FT,Regular Season - 4,Qizilqum,4221,Olmaliq,4219,0,1,True
1515996,2026-03-19T11:00:00+00:00,FT,Regular Season - 4,Andijan,4209,Mash'al,4213,2,0,True
1515997,2026-03-19T13:15:00+00:00,FT,Regular Season - 4,Buxoro,4211,Dinamo Samarqand,4224,3,1,True
