fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1480977,2025-11-11T22:30:00+00:00,CANC,Zamora FC,2806,Puerto Cabello,2827,,,False
1336436,2025-01-24T22:00:00+00:00,FT,Metropolitanos FC,2825,Puerto Cabello,2827,2,1,True
1336435,2025-01-25T00:30:00+00:00,FT,Monagas SC,2811,Deportivo La Guaira,2813,1,1,True
1336438,2025-01-25T21:00:00+00:00,FT,Estudiantes de Merida FC,2818,Carabobo FC,2810,0,2,True
1336437,2025-01-25T21:00:00+00:00,FT,UCV,2840,Anzoátegui FC,18806,1,1,True
1336439,2025-01-26T19:30:00+00:00,FT,Rayo Zuliano,16847,Caracas FC,2808,1,1,True
1336440,2025-01-26T21:45:00+00:00,FT,Deportivo Tachira FC,2807,Zamora FC,2806,0,0,True
1336441,2025-01-27T00:00:00+00:00,FT,Portuguesa FC,2814,Yaracuyanos FC,2829,1,0,True
1336447,2025-01-31T00:30:00+00:00,FT,Monagas SC,2811,Deportivo Tachira FC,2807,1,4,True
1336442,2025-01-31T23:00:00+00:00,FT,Anzoátegui FC,18806,Rayo Zuliano,16847,3,1,True
1336443,2025-02-01T19:00:00+00:00,FT,Yaracuyanos FC,2829,Puerto Cabello,2827,0,3,True
1336444,2025-02-02T21:00:00+00:00,FT,Zamora FC,2806,Estudiantes de Merida FC,2818,2,1,True
1336445,2025-02-02T22:00:00+00:00,FT,Deportivo La Guaira,2813,UCV,2840,2,2,True
1336448,2025-02-02T23:30:00+00:00,FT,Carabobo FC,2810,Portuguesa FC,2814,0,0,True
1336446,2025-02-03T23:00:00+00:00,FT,Caracas FC,2808,Metropolitanos FC,2825,1,0,True
1336453,2025-02-06T23:30:00+00:00,FT,Estudiantes de Merida FC,2818,Monagas SC,2811,2,0,True
1336455,2025-02-07T23:00:00+00:00,FT,Portuguesa FC,2814,Zamora FC,2806,2,1,True
1336450,2025-02-08T19:30:00+00:00,FT,Rayo Zuliano,16847,Deportivo La Guaira,2813,1,1,True
1336454,2025-02-08T21:45:00+00:00,FT,Deportivo Tachira FC,2807,UCV,2840,1,0,True
1336451,2025-02-09T00:00:00+00:00,FT,Puerto Cabello,2827,Carabobo FC,2810,1,3,True
1336449,2025-02-09T19:00:00+00:00,FT,Yaracuyanos FC,2829,Metropolitanos FC,2825,0,0,True
1336452,2025-02-09T22:00:00+00:00,FT,Caracas FC,2808,Anzoátegui FC,18806,1,0,True
1336457,2025-02-14T23:00:00+00:00,FT,UCV,2840,Estudiantes de Merida FC,2818,2,1,True
1336461,2025-02-15T19:30:00+00:00,FT,Rayo Zuliano,16847,Deportivo Tachira FC,2807,1,0,True
1336458,2025-02-15T21:45:00+00:00,FT,Carabobo FC,2810,Yaracuyanos FC,2829,2,2,True
1336456,2025-02-16T00:00:00+00:00,FT,Deportivo La Guaira,2813,Caracas FC,2808,1,0,True
1336460,2025-02-16T21:00:00+00:00,FT,Monagas SC,2811,Portuguesa FC,2814,0,2,True
1336459,2025-02-16T23:30:00+00:00,FT,Zamora FC,2806,Puerto Cabello,2827,0,2,True
1336462,2025-02-17T23:00:00+00:00,FT,Anzoátegui FC,18806,Metropolitanos FC,2825,3,1,True
1336463,2025-02-21T21:30:00+00:00,FT,Estudiantes de Merida FC,2818,Rayo Zuliano,16847,1,0,True
1336469,2025-02-22T19:00:00+00:00,FT,Yaracuyanos FC,2829,Zamora FC,2806,2,2,True
1336467,2025-02-22T21:45:00+00:00,FT,Anzoátegui FC,18806,Deportivo La Guaira,2813,0,1,True
1336464,2025-02-23T00:00:00+00:00,FT,Portuguesa FC,2814,UCV,2840,0,1,True
1336465,2025-02-23T21:00:00+00:00,FT,Deportivo Tachira FC,2807,Caracas FC,2808,1,0,True
1336468,2025-02-23T22:45:00+00:00,FT,Metropolitanos FC,2825,Carabobo FC,2810,3,0,True
1336466,2025-02-23T23:30:00+00:00,FT,Puerto Cabello,2827,Monagas SC,2811,1,0,True
1336474,2025-02-28T19:30:00+00:00,FT,Rayo Zuliano,16847,Portuguesa FC,2814,1,0,True
1336476,2025-03-01T20:00:00+00:00,FT,Deportivo La Guaira,2813,Metropolitanos FC,2825,4,1,True
1336470,2025-03-01T22:15:00+00:00,FT,Caracas FC,2808,Estudiantes de Merida FC,2818,0,0,True
1336472,2025-03-01T22:15:00+00:00,FT,Anzoátegui FC,18806,Deportivo Tachira FC,2807,0,0,True
1336475,2025-03-02T00:30:00+00:00,FT,UCV,2840,Puerto Cabello,2827,1,0,True
1336473,2025-03-02T21:30:00+00:00,FT,Zamora FC,2806,Carabobo FC,2810,0,1,True
1336471,2025-03-03T00:00:00+00:00,FT,Monagas SC,2811,Yaracuyanos FC,2829,2,1,True
1336481,2025-03-07T22:30:00+00:00,FT,Estudiantes de Merida FC,2818,Anzoátegui FC,18806,3,4,True
1336482,2025-03-08T19:00:00+00:00,FT,Yaracuyanos FC,2829,UCV,2840,0,2,True
