fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1323127,2025-01-14T11:00:00+00:00,FT,Thanh Hóa,3680,Nam Dinh,3674,1,1,True
1323113,2025-01-17T10:00:00+00:00,FT,Hoang Anh Gia Lai,3673,Ho Chi Minh,3672,2,2,True
1323114,2025-01-17T11:00:00+00:00,FT,Binh Duong,3668,Binh Dinh,9160,2,1,True
1323115,2025-01-18T11:00:00+00:00,FT,Thanh Hóa,3680,Hồng Lĩnh Hà Tĩnh,11134,1,1,True
1323116,2025-01-18T12:15:00+00:00,FT,Công An Nhân Dân,16400,Song Lam Nghe An,3678,1,1,True
1323118,2025-01-19T11:00:00+00:00,FT,Da Nang,3669,Ha Noi,3670,0,2,True
1323117,2025-01-19T11:00:00+00:00,FT,Nam Dinh,3674,Viettel,3681,0,1,True
1323119,2025-01-19T12:15:00+00:00,FT,Hai Phong,3671,Quang Nam,3675,0,1,True
1323120,2025-01-23T11:00:00+00:00,FT,Song Lam Nghe An,3678,Binh Duong,3668,1,0,True
1323121,2025-01-24T10:00:00+00:00,FT,Hồng Lĩnh Hà Tĩnh,11134,Hai Phong,3671,1,1,True
1323122,2025-01-24T11:00:00+00:00,FT,Binh Dinh,9160,Nam Dinh,3674,0,0,True
1323123,2025-01-24T12:15:00+00:00,FT,Ha Noi,3670,Hoang Anh Gia Lai,3673,0,1,True
1323124,2025-01-24T12:15:00+00:00,FT,Ho Chi Minh,3672,Da Nang,3669,1,0,True
1323134,2025-02-05T11:00:00+00:00,FT,Nam Dinh,3674,Ha Noi,3670,2,1,True
1323128,2025-02-08T11:00:00+00:00,FT,Binh Dinh,9160,Da Nang,3669,1,2,True
1323129,2025-02-08T12:15:00+00:00,FT,Hai Phong,3671,Ho Chi Minh,3672,2,0,True
1323130,2025-02-08T12:15:00+00:00,FT,Viettel,3681,Hoang Anh Gia Lai,3673,2,1,True
1323131,2025-02-09T10:00:00+00:00,FT,Quang Nam,3675,Binh Duong,3668,1,2,True
1323132,2025-02-09T12:15:00+00:00,FT,Ha Noi,3670,Song Lam Nghe An,3678,3,0,True
1323133,2025-02-10T11:00:00+00:00,FT,Hồng Lĩnh Hà Tĩnh,11134,Công An Nhân Dân,16400,0,0,True
1323135,2025-02-14T11:00:00+00:00,FT,Da Nang,3669,Viettel,3681,1,1,True
1323136,2025-02-14T12:15:00+00:00,FT,Ho Chi Minh,3672,Thanh Hóa,3680,2,2,True
1323137,2025-02-15T11:00:00+00:00,FT,Song Lam Nghe An,3678,Hai Phong,3671,1,0,True
1323138,2025-02-15T12:15:00+00:00,FT,Công An Nhân Dân,16400,Quang Nam,3675,4,4,True
1323139,2025-02-16T10:00:00+00:00,FT,Hoang Anh Gia Lai,3673,Binh Dinh,9160,1,1,True
1323140,2025-02-16T11:00:00+00:00,FT,Binh Duong,3668,Hồng Lĩnh Hà Tĩnh,11134,2,2,True
1323125,2025-02-19T10:00:00+00:00,FT,Quang Nam,3675,Thanh Hóa,3680,1,0,True
1323126,2025-02-19T12:15:00+00:00,FT,Viettel,3681,Công An Nhân Dân,16400,2,1,True
1323141,2025-02-21T10:00:00+00:00,FT,Hoang Anh Gia Lai,3673,Ha Noi,3670,0,3,True
1323142,2025-02-22T11:00:00+00:00,FT,Binh Duong,3668,Song Lam Nghe An,3678,2,1,True
1323143,2025-02-22T12:15:00+00:00,FT,Hai Phong,3671,Hồng Lĩnh Hà Tĩnh,11134,1,0,True
1323145,2025-02-23T11:00:00+00:00,FT,Da Nang,3669,Ho Chi Minh,3672,1,1,True
1323144,2025-02-23T11:00:00+00:00,FT,Thanh Hóa,3680,Quang Nam,3675,1,1,True
1323146,2025-02-23T12:15:00+00:00,FT,Công An Nhân Dân,16400,Viettel,3681,2,1,True
1323147,2025-02-24T11:00:00+00:00,FT,Nam Dinh,3674,Binh Dinh,9160,3,1,True
1323149,2025-02-28T10:00:00+00:00,FT,Quang Nam,3675,Hai Phong,3671,1,2,True
1323148,2025-02-28T10:00:00+00:00,FT,Hồng Lĩnh Hà Tĩnh,11134,Thanh Hóa,3680,0,0,True
1323150,2025-02-28T12:15:00+00:00,FT,Viettel,3681,Nam Dinh,3674,0,2,True
1323151,2025-03-01T11:00:00+00:00,FT,Song Lam Nghe An,3678,Công An Nhân Dân,16400,1,1,True
1323152,2025-03-01T11:00:00+00:00,FT,Binh Dinh,9160,Binh Duong,3668,0,1,True
1323153,2025-03-02T12:15:00+00:00,FT,Ha Noi,3670,Da Nang,3669,3,2,True
1323154,2025-03-02T12:15:00+00:00,FT,Ho Chi Minh,3672,Hoang Anh Gia Lai,3673,1,0,True
1355165,2025-03-07T11:00:00+00:00,FT,Hồng Lĩnh Hà Tĩnh,11134,Ha Noi,3670,1,1,True
1355166,2025-03-08T11:00:00+00:00,FT,Binh Duong,3668,Viettel,3681,1,2,True
1355167,2025-03-08T11:00:00+00:00,FT,Song Lam Nghe An,3678,Binh Dinh,9160,1,0,True
1355168,2025-03-08T12:15:00+00:00,FT,Công An Nhân Dân,16400,Nam Dinh,3674,1,1,True
1355169,2025-03-09T10:00:00+00:00,FT,Quang Nam,3675,Ho Chi Minh,3672,3,1,True
1355170,2025-03-09T11:00:00+00:00,FT,Thanh Hóa,3680,Hoang Anh Gia Lai,3673,2,2,True
1355171,2025-03-09T12:15:00+00:00,FT,Hai Phong,3671,Da Nang,3669,1,0,True
1355172,2025-04-06T10:00:00+00:00,FT,Hoang Anh Gia Lai,3673,Binh Duong,3668,4,0,True
1355175,2025-04-06T11:00:00+00:00,FT,Nam Dinh,3674,Hai Phong,3671,2,0,True
1355176,2025-04-06T11:00:00+00:00,FT,Binh Dinh,9160,Hồng Lĩnh Hà Tĩnh,11134,0,1,True
1355177,2025-04-06T12:15:00+00:00,FT,Ha Noi,3670,Thanh Hóa,3680,3,1,True
1355173,2025-04-06T12:15:00+00:00,FT,Ho Chi Minh,3672,Song Lam Nghe An,3678,1,1,True
1355174,2025-04-06T12:15:00+00:00,FT,Viettel,3681,Quang Nam,3675,2,2,True
1355178,2025-04-07T11:00:00+00:00,FT,Da Nang,3669,Công An Nhân Dân,16400,1,2,True
1355179,2025-04-11T11:00:00+00:00,FT,Hồng Lĩnh Hà Tĩnh,11134,Viettel,3681,2,2,True
1355180,2025-04-12T10:00:00+00:00,FT,Quang Nam,3675,Binh Dinh,9160,1,2,True
1355181,2025-04-12T11:00:00+00:00,FT,Thanh Hóa,3680,Song Lam Nghe An,3678,1,1,True
1355182,2025-04-12T12:15:00+00:00,FT,Công An Nhân Dân,16400,Hoang Anh Gia Lai,3673,3,1,True
1355183,2025-04-13T11:00:00+00:00,FT,Binh Duong,3668,Da Nang,3669,1,1,True
1355184,2025-04-13T11:00:00+00:00,FT,Nam Dinh,3674,Ho Chi Minh,3672,1,1,True
1355185,2025-04-13T12:15:00+00:00,FT,Hai Phong,3671,Ha Noi,3670,0,0,True
1355187,2025-04-18T10:00:00+00:00,FT,Hoang Anh Gia Lai,3673,Hồng Lĩnh Hà Tĩnh,11134,0,1,True
1355189,2025-04-18T12:15:00+00:00,FT,Hai Phong,3671,Binh Dinh,9160,2,0,True
1355188,2025-04-18T12:15:00+00:00,FT,Công An Nhân Dân,16400,Ho Chi Minh,3672,0,0,True
1355190,2025-04-19T11:00:00+00:00,FT,Binh Duong,3668,Ha Noi,3670,0,3,True
1355186,2025-04-19T11:00:00+00:00,FT,Thanh Hóa,3680,Viettel,3681,3,1,True
1355192,2025-04-20T11:00:00+00:00,FT,Da Nang,3669,Nam Dinh,3674,0,0,True
1355191,2025-04-20T11:00:00+00:00,FT,Song Lam Nghe An,3678,Quang Nam,3675,1,1,True
1355193,2025-04-25T12:15:00+00:00,FT,Ho Chi Minh,3672,Hồng Lĩnh Hà Tĩnh,11134,0,1,True
1355196,2025-04-25T12:15:00+00:00,FT,Viettel,3681,Song Lam Nghe An,3678,1,0,True
1355194,2025-04-26T11:00:00+00:00,FT,Nam Dinh,3674,Binh Duong,3668,3,1,True
1355197,2025-04-27T10:00:00+00:00,FT,Hoang Anh Gia Lai,3673,Hai Phong,3671,1,0,True
1355198,2025-04-27T11:00:00+00:00,FT,Da Nang,3669,Thanh Hóa,3680,1,0,True
1355199,2025-04-27T12:15:00+00:00,FT,Ha Noi,3670,Quang Nam,3675,2,1,True
1355200,2025-05-02T12:15:00+00:00,FT,Viettel,3681,Da Nang,3669,6,0,True
1355201,2025-05-03T11:00:00+00:00,FT,Hồng Lĩnh Hà Tĩnh,11134,Binh Duong,3668,3,1,True
1355202,2025-05-03T12:15:00+00:00,FT,Hai Phong,3671,Song Lam Nghe An,3678,0,0,True
1355204,2025-05-04T11:00:00+00:00,FT,Thanh Hóa,3680,Ho Chi Minh,3672,1,2,True
1355203,2025-05-04T11:00:00+00:00,FT,Binh Dinh,9160,Hoang Anh Gia Lai,3673,2,1,True
1355205,2025-05-04T12:15:00+00:00,FT,Ha Noi,3670,Nam Dinh,3674,0,3,True
1355206,2025-05-05T10:00:00+00:00,FT,Quang Nam,3675,Công An Nhân Dân,16400,0,3,True
1355208,2025-05-09T12:15:00+00:00,FT,Ho Chi Minh,3672,Hai Phong,3671,0,2,True
1355207,2025-05-09T12:15:00+00:00,FT,Công An Nhân Dân,16400,Hồng Lĩnh Hà Tĩnh,11134,0,0,True
1355210,2025-05-10T11:00:00+00:00,FT,Da Nang,3669,Binh Dinh,9160,3,1,True
1355209,2025-05-10T11:00:00+00:00,FT,Song Lam Nghe An,3678,Ha Noi,3670,1,2,True
1355211,2025-05-11T10:00:00+00:00,FT,Hoang Anh Gia Lai,3673,Viettel,3681,2,1,True
1355212,2025-05-11T11:00:00+00:00,FT,Binh Duong,3668,Quang Nam,3675,0,0,True
