fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
331787,2020-04-04T00:00:00+00:00,CANC,Semi-finals,Caernarfon Town,356,Cardiff MET,353,,,False
331788,2020-04-05T00:00:00+00:00,CANC,Semi-finals,Prestatyn Town,5622,The New Saints,354,,,False
292925,2020-01-24T19:45:00+00:00,FT,4th Round,Penybont,2191,Cardiff MET,353,1,2,True
292920,2020-01-24T19:45:00+00:00,FT,4th Round,Flint Town United,5614,Colwyn Bay,5611,3,2,True
292921,2020-01-24T20:00:00+00:00,FT,4th Round,Ammanford AFC,2188,Caernarfon Town,356,0,4,True
292919,2020-01-25T14:30:00+00:00,FT,4th Round,The New Saints,354,Aberystwyth Town,351,4,0,True
292923,2020-01-25T14:30:00+00:00,FT,4th Round,GAP Connah S Quay FC,357,Afan Lido,2200,8,0,True
292924,2020-01-25T14:30:00+00:00,FT,4th Round,Newtown AFC,358,Rhyl,5623,4,1,True
292922,2020-01-25T14:30:00+00:00,FT,4th Round,Cefn Druids AFC,360,Pontardawe Town,7598,2,0,True
292918,2020-01-25T14:30:00+00:00,FT,4th Round,Swansea University,5626,Prestatyn Town,5622,0,1,True
321867,2020-02-28T20:00:00+00:00,FT,Quarter-finals,Caernarfon Town,356,Cefn Druids AFC,360,4,0,True
321869,2020-02-29T14:30:00+00:00,FT,Quarter-finals,The New Saints,354,Newtown AFC,358,6,1,True
321866,2020-02-29T14:30:00+00:00,FT,Quarter-finals,GAP Connah S Quay FC,357,Cardiff MET,353,1,2,True
321868,2020-03-03T19:45:00+00:00,FT,Quarter-finals,Flint Town United,5614,Prestatyn Town,5622,0,1,True
