fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1430703,2025-08-12T08:00:00+00:00,FT,Falcons,16186,Taichung Futuro,12542,3,1,True
1430710,2025-08-12T09:30:00+00:00,PEN,Yangon United,8013,Ezra,14094,0,0,False
1430704,2025-08-12T10:00:00+00:00,FT,Maziya,8044,Al Arabi,3532,0,4,True
1430705,2025-08-12T11:00:00+00:00,FT,Abahani,5009,Muras United,21167,0,2,True
1430706,2025-08-12T11:30:00+00:00,FT,Tainan City,12543,Khangarid,16187,4,1,True
1437465,2025-08-12T12:00:00+00:00,FT,Paro,9426,Abu Muslim,26358,1,0,True
1430707,2025-08-12T12:15:00+00:00,FT,Kasuka,16066,Phnom Penh Crown,5394,0,6,True
1430708,2025-08-12T14:00:00+00:00,FT,Abdish-Ata,12234,Hottin,9115,5,2,True
1430709,2025-08-12T17:30:00+00:00,FT,Al Karama,9111,Bashundhara Kings,5012,0,1,True
1483332,2025-10-25T09:00:00+00:00,FT,Altyn Asyr,8023,Abdish-Ata,12234,1,0,True
1483333,2025-10-25T10:00:00+00:00,FT,Safa,4573,Al Arabi,3532,2,2,True
1483334,2025-10-25T12:00:00+00:00,FT,Al-Shabab,5329,Paro,9426,1,0,True
1483335,2025-10-25T13:00:00+00:00,FT,Al Seeb,7504,Bashundhara Kings,5012,3,2,True
1483336,2025-10-25T14:00:00+00:00,FT,Regar-TadAZ,12268,Muras United,21167,0,0,True
1483337,2025-10-25T16:00:00+00:00,FT,Al Ansar,4569,Al Kuwait,3535,2,3,True
1450848,2025-10-26T08:00:00+00:00,FT,Shan United,8015,Tainan City,12543,1,2,True
1450846,2025-10-26T09:00:00+00:00,FT,Svay Rieng,5396,Falcons,16186,3,0,True
1450849,2025-10-26T12:00:00+00:00,FT,Dewa United,17902,Phnom Penh Crown,5394,1,1,True
1450847,2025-10-26T12:00:00+00:00,FT,Manila Digger,21576,Ezra,14094,3,1,True
1483338,2025-10-28T09:00:00+00:00,FT,Abdish-Ata,12234,Al-Shabab,5329,1,2,True
1450852,2025-10-28T10:00:00+00:00,FT,Al Arabi,3532,Regar-TadAZ,12268,2,1,True
1450850,2025-10-28T12:00:00+00:00,FT,Paro,9426,Altyn Asyr,8023,1,3,True
1483339,2025-10-28T13:00:00+00:00,FT,Bashundhara Kings,5012,Al Ansar,4569,0,3,True
1450853,2025-10-28T14:00:00+00:00,FT,Muras United,21167,Safa,4573,2,0,True
1450851,2025-10-28T16:00:00+00:00,FT,Al Kuwait,3535,Al Seeb,7504,1,1,True
1450855,2025-10-29T08:00:00+00:00,FT,Phnom Penh Crown,5394,Shan United,8015,3,1,True
1450854,2025-10-29T09:00:00+00:00,FT,Falcons,16186,Manila Digger,21576,0,2,True
1483341,2025-10-29T12:00:00+00:00,FT,Tainan City,12543,Dewa United,17902,0,4,True
1483340,2025-10-29T12:00:00+00:00,FT,Ezra,14094,Svay Rieng,5396,0,3,True
1450857,2025-10-31T09:00:00+00:00,FT,Altyn Asyr,8023,Al-Shabab,5329,1,3,True
1450859,2025-10-31T10:00:00+00:00,FT,Regar-TadAZ,12268,Safa,4573,1,2,True
1450856,2025-10-31T12:00:00+00:00,FT,Paro,9426,Abdish-Ata,12234,3,3,True
1450858,2025-10-31T13:00:00+00:00,FT,Al Seeb,7504,Al Ansar,4569,1,2,True
1483343,2025-10-31T14:00:00+00:00,FT,Al Arabi,3532,Muras United,21167,1,1,True
1483342,2025-10-31T16:00:00+00:00,FT,Al Kuwait,3535,Bashundhara Kings,5012,2,0,True
1483344,2025-11-01T08:00:00+00:00,FT,Tainan City,12543,Phnom Penh Crown,5394,2,3,True
1450860,2025-11-01T09:00:00+00:00,FT,Falcons,16186,Ezra,14094,3,1,True
1450862,2025-11-01T12:00:00+00:00,FT,Dewa United,17902,Shan United,8015,4,1,True
1450861,2025-11-01T12:00:00+00:00,FT,Manila Digger,21576,Svay Rieng,5396,2,2,True
1485223,2026-03-05T12:00:00+00:00,FT,Phnom Penh Crown,5394,Svay Rieng,5396,1,4,True
1485221,2026-03-05T12:30:00+00:00,FT,Manila Digger,21576,Dewa United,17902,1,0,True
1485227,2026-03-12T12:00:00+00:00,FT,Svay Rieng,5396,Phnom Penh Crown,5394,2,1,True
1485226,2026-03-12T13:30:00+00:00,FT,Dewa United,17902,Manila Digger,21576,2,2,True
1532901,2026-04-09T12:00:00+00:00,FT,Svay Rieng,5396,Manila Digger,21576,1,1,True
1532902,2026-04-16T12:00:00+00:00,FT,Manila Digger,21576,Svay Rieng,5396,0,3,True
1485220,2026-04-19T09:00:00+00:00,FT,Al-Shabab,5329,Al Kuwait,3535,3,5,True
1485222,2026-04-19T14:00:00+00:00,FT,Al Ansar,4569,Muras United,21167,0,3,True
1541868,2026-04-22T14:00:00+00:00,FT,Muras United,21167,Al Kuwait,3535,1,2,True
1542545,2026-05-13T16:45:00+00:00,AET,Al Kuwait,3535,Svay Rieng,5396,4,3,False
