fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1322496,2025-02-05T01:00:00+00:00,FT,Real du Cap,4438,Cruz Azul,2295,0,2,True
1321845,2025-02-06T01:00:00+00:00,FT,Forge,3830,Monterrey,2282,0,2,True
1322500,2025-02-06T03:00:00+00:00,FT,Real Estelí,4645,Tigres UANL,2279,1,0,True
1322494,2025-02-07T01:00:00+00:00,FT,Cibao,8004,Guadalajara Chivas,2278,1,1,True
1321847,2025-02-07T03:00:00+00:00,FT,Cavalry FC,2619,U.N.A.M. - Pumas,2286,2,1,True
1321846,2025-02-12T01:00:00+00:00,FT,Monterrey,2282,Forge,3830,3,0,True
1322497,2025-02-12T03:00:00+00:00,FT,Cruz Azul,2295,Real du Cap,4438,5,0,True
1322495,2025-02-13T01:00:00+00:00,FT,Guadalajara Chivas,2278,Cibao,8004,3,0,True
1322501,2025-02-13T03:00:00+00:00,FT,Tigres UANL,2279,Real Estelí,4645,3,0,True
1321848,2025-02-14T01:00:00+00:00,FT,U.N.A.M. - Pumas,2286,Cavalry FC,2619,2,0,True
1321843,2025-02-19T03:00:00+00:00,FT,Colorado Rapids,1610,Los Angeles FC,1616,2,1,True
1322504,2025-02-19T23:30:00+00:00,FT,CS Herediano,815,Real Salt Lake,1606,0,0,True
1322490,2025-02-20T01:00:00+00:00,FT,Sporting Kansas City,1611,Inter Miami,9568,0,1,True
1322498,2025-02-20T01:00:00+00:00,FT,Antigua GFC,3656,Seattle Sounders,1595,1,3,True
1322502,2025-02-20T03:00:00+00:00,FT,CD Motagua,1055,FC Cincinnati,2242,1,4,True
1322492,2025-02-21T01:00:00+00:00,FT,Deportivo Saprissa,816,Vancouver Whitecaps,1603,2,1,True
1322491,2025-02-26T01:00:00+00:00,FT,Inter Miami,9568,Sporting Kansas City,1611,3,1,True
1321844,2025-02-26T03:00:00+00:00,FT,Los Angeles FC,1616,Colorado Rapids,1610,1,0,True
1322503,2025-02-26T23:30:00+00:00,FT,FC Cincinnati,2242,CD Motagua,1055,1,1,True
1322505,2025-02-27T01:30:00+00:00,FT,Real Salt Lake,1606,CS Herediano,815,1,2,True
1322499,2025-02-27T03:30:00+00:00,FT,Seattle Sounders,1595,Antigua GFC,3656,3,1,True
1322493,2025-02-28T03:00:00+00:00,FT,Vancouver Whitecaps,1603,Deportivo Saprissa,816,2,0,True
1355128,2025-03-04T23:30:00+00:00,FT,FC Cincinnati,2242,Tigres UANL,2279,1,1,True
1349502,2025-03-05T01:30:00+00:00,FT,U.N.A.M. - Pumas,2286,LD Alajuelense,822,2,0,True
1355024,2025-03-05T03:30:00+00:00,FT,Los Angeles FC,1616,Columbus Crew,1613,3,0,True
1355132,2025-03-06T01:30:00+00:00,FT,CS Herediano,815,Los Angeles Galaxy,1605,1,0,True
1350693,2025-03-06T01:30:00+00:00,FT,Guadalajara Chivas,2278,Club America,2287,1,0,True
1355130,2025-03-06T03:30:00+00:00,FT,Seattle Sounders,1595,Cruz Azul,2295,0,0,True
1355634,2025-03-06T03:30:00+00:00,FT,Vancouver Whitecaps,1603,Monterrey,2282,1,1,True
1355026,2025-03-07T01:00:00+00:00,FT,Inter Miami,9568,Cavalier,3437,2,0,True
1355025,2025-03-12T00:30:00+00:00,FT,Columbus Crew,1613,Los Angeles FC,1616,2,1,True
1355131,2025-03-12T00:30:00+00:00,FT,Cruz Azul,2295,Seattle Sounders,1595,4,1,True
1355129,2025-03-12T02:30:00+00:00,FT,Tigres UANL,2279,FC Cincinnati,2242,3,1,True
1355635,2025-03-13T00:30:00+00:00,FT,Monterrey,2282,Vancouver Whitecaps,1603,2,2,True
1355133,2025-03-13T02:30:00+00:00,FT,Los Angeles Galaxy,1605,CS Herediano,815,4,1,True
1350694,2025-03-13T02:30:00+00:00,FT,Club America,2287,Guadalajara Chivas,2278,4,0,True
1355027,2025-03-14T00:00:00+00:00,FT,Cavalier,3437,Inter Miami,9568,0,2,True
1351038,2025-03-14T02:00:00+00:00,FT,LD Alajuelense,822,U.N.A.M. - Pumas,2286,1,1,True
1361470,2025-04-02T01:15:00+00:00,FT,Club America,2287,Cruz Azul,2295,0,0,True
1361464,2025-04-02T03:15:00+00:00,FT,Los Angeles Galaxy,1605,Tigres UANL,2279,0,0,True
1361468,2025-04-03T01:30:00+00:00,FT,Vancouver Whitecaps,1603,U.N.A.M. - Pumas,2286,1,1,True
1361466,2025-04-03T03:30:00+00:00,FT,Los Angeles FC,1616,Inter Miami,9568,1,0,True
1361465,2025-04-09T01:00:00+00:00,FT,Tigres UANL,2279,Los Angeles Galaxy,1605,3,2,True
1361471,2025-04-09T03:30:00+00:00,FT,Cruz Azul,2295,Club America,2287,2,1,True
1361467,2025-04-10T00:00:00+00:00,FT,Inter Miami,9568,Los Angeles FC,1616,3,1,True
1361469,2025-04-10T02:30:00+00:00,FT,U.N.A.M. - Pumas,2286,Vancouver Whitecaps,1603,2,2,True
1370740,2025-04-24T02:00:00+00:00,FT,Tigres UANL,2279,Cruz Azul,2295,1,1,True
1370742,2025-04-25T02:30:00+00:00,FT,Vancouver Whitecaps,1603,Inter Miami,9568,2,0,True
1370743,2025-05-01T00:00:00+00:00,FT,Inter Miami,9568,Vancouver Whitecaps,1603,1,3,True
1370741,2025-05-02T02:00:00+00:00,FT,Cruz Azul,2295,Tigres UANL,2279,1,0,True
1374572,2025-06-02T01:00:00+00:00,FT,Cruz Azul,2295,Vancouver Whitecaps,1603,5,0,True
