fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1351423,2025-07-29T23:00:00+00:00,PEN,Group Stage - 1,CF Montreal,1614,Leon,2289,1,1,False
1351425,2025-07-29T23:00:00+00:00,PEN,Group Stage - 1,Toluca,2281,Columbus Crew,1613,2,2,False
1351424,2025-07-30T00:00:00+00:00,FT,Group Stage - 1,New York City FC,1604,Puebla,2291,0,3,True
1351426,2025-07-30T01:00:00+00:00,FT,Group Stage - 1,Tigres UANL,2279,Houston Dynamo,1600,4,1,True
1351427,2025-07-30T02:30:00+00:00,PEN,Group Stage - 1,Los Angeles FC,1616,Mazatlán,14002,1,1,False
1351428,2025-07-30T03:00:00+00:00,FT,Group Stage - 1,CF Pachuca,2292,San Diego,25484,3,2,True
1351430,2025-07-30T23:30:00+00:00,FT,Group Stage - 1,Necaxa,2288,Atlanta United FC,1608,3,1,True
1351429,2025-07-30T23:30:00+00:00,FT,Group Stage - 1,Inter Miami,9568,Atlas,2283,2,1,True
1351431,2025-07-31T00:00:00+00:00,PEN,Group Stage - 1,U.N.A.M. - Pumas,2286,Orlando City SC,1598,1,1,False
1351432,2025-07-31T00:30:00+00:00,FT,Group Stage - 1,Minnesota United FC,1612,Club Queretaro,2290,4,1,True
1351433,2025-07-31T01:30:00+00:00,PEN,Group Stage - 1,Club America,2287,Real Salt Lake,1606,2,2,False
1351434,2025-07-31T02:30:00+00:00,FT,Group Stage - 1,Portland Timbers,1617,Atletico San Luis,2314,4,0,True
1351437,2025-07-31T23:00:00+00:00,FT,Group Stage - 1,Monterrey,2282,FC Cincinnati,2242,2,3,True
1351436,2025-07-31T23:30:00+00:00,FT,Group Stage - 1,Guadalajara Chivas,2278,New York Red Bulls,1602,0,1,True
1351435,2025-07-31T23:30:00+00:00,FT,Group Stage - 1,Charlotte,18310,FC Juarez,2298,1,4,True
1351438,2025-08-01T01:30:00+00:00,FT,Group Stage - 1,Colorado Rapids,1610,Santos Laguna,2285,2,1,True
1351439,2025-08-01T02:30:00+00:00,FT,Group Stage - 1,Cruz Azul,2295,Seattle Sounders,1595,0,7,True
1351440,2025-08-01T03:00:00+00:00,FT,Group Stage - 1,Los Angeles Galaxy,1605,Club Tijuana,2280,5,2,True
1351441,2025-08-01T22:00:00+00:00,FT,Group Stage - 2,New York City FC,1604,Leon,2289,2,0,True
1351442,2025-08-01T23:00:00+00:00,FT,Group Stage - 2,Columbus Crew,1613,Puebla,2291,3,1,True
1351443,2025-08-02T00:30:00+00:00,FT,Group Stage - 2,Houston Dynamo,1600,Mazatlán,14002,0,2,True
1351444,2025-08-02T01:00:00+00:00,FT,Group Stage - 2,Toluca,2281,CF Montreal,1614,2,1,True
1351445,2025-08-02T02:30:00+00:00,PEN,Group Stage - 2,Los Angeles FC,1616,CF Pachuca,2292,1,1,False
1351446,2025-08-02T03:00:00+00:00,FT,Group Stage - 2,Tigres UANL,2279,San Diego,25484,2,1,True
1351447,2025-08-02T22:00:00+00:00,FT,Group Stage - 2,Orlando City SC,1598,Atlas,2283,3,1,True
1351448,2025-08-02T23:00:00+00:00,PEN,Group Stage - 2,Inter Miami,9568,Necaxa,2288,2,2,False
1351449,2025-08-03T01:00:00+00:00,FT,Group Stage - 2,U.N.A.M. - Pumas,2286,Atlanta United FC,1608,3,2,True
1351450,2025-08-03T01:00:00+00:00,PEN,Group Stage - 2,Club America,2287,Minnesota United FC,1612,3,3,False
1351451,2025-08-03T01:30:00+00:00,PEN,Group Stage - 2,Real Salt Lake,1606,Atletico San Luis,2314,2,2,False
1351452,2025-08-03T03:00:00+00:00,FT,Group Stage - 2,Portland Timbers,1617,Club Queretaro,2290,1,0,True
1351455,2025-08-03T21:30:00+00:00,PEN,Group Stage - 2,FC Cincinnati,2242,FC Juarez,2298,2,2,False
1351454,2025-08-03T23:50:00+00:00,PEN,Group Stage - 2,Guadalajara Chivas,2278,Charlotte,18310,2,2,False
1351453,2025-08-04T00:30:00+00:00,PEN,Group Stage - 2,Monterrey,2282,New York Red Bulls,1602,1,1,False
1351456,2025-08-04T01:30:00+00:00,FT,Group Stage - 2,Colorado Rapids,1610,Club Tijuana,2280,1,2,True
