fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1036939,2023-07-12T17:30:00+00:00,FT,1st Qualifying Round,F91 Dudelange,578,St Patrick's Athl.,3843,2,1,True,
1036941,2023-07-12T18:00:00+00:00,FT,1st Qualifying Round,B36 Torshavn,678,Paide,3528,0,0,True,609
1036985,2023-07-13T15:00:00+00:00,FT,1st Qualifying Round,Pyunik Yerevan,709,Trans Narva,2274,2,0,True,4654
1036989,2023-07-13T15:00:00+00:00,FT,1st Qualifying Round,FK Tobol Kostanay,2259,Honka,1169,2,1,True,
1036968,2023-07-13T15:00:00+00:00,FT,1st Qualifying Round,Inter Club d'Escaldes,3342,Vikingur Gota,580,2,1,True,
1036951,2023-07-13T15:00:00+00:00,FT,1st Qualifying Round,Ararat-Armenia,3683,Egnatia Rrogozhinë,3327,1,1,True,120
1036983,2023-07-13T15:30:00+00:00,FT,1st Qualifying Round,Žilina,3554,FC Levadia Tallinn,2273,2,1,True,2359
1036993,2023-07-13T15:30:00+00:00,FT,1st Qualifying Round,Makedonija GjP,4196,Rīgas FS,4160,0,1,True,19762
1036977,2023-07-13T16:00:00+00:00,FT,1st Qualifying Round,Haka,2080,Crusaders FC,697,2,2,True,614
1036987,2023-07-13T16:00:00+00:00,FT,1st Qualifying Round,Panevėžys,3874,Milsami Orhei,691,2,2,True,11571
1036966,2023-07-13T16:00:00+00:00,FT,1st Qualifying Round,Magpies,16135,Dundalk,584,0,0,True,760
1036955,2023-07-13T17:00:00+00:00,FT,1st Qualifying Round,Alashkert,582,Arsenal Tivat,3742,1,1,True,119
1036948,2023-07-13T17:00:00+00:00,FT,1st Qualifying Round,NK Domzale,615,Balzan FC,696,1,4,True,1440
1036953,2023-07-13T17:00:00+00:00,FT,1st Qualifying Round,Torpedo Kutaisi,685,FK Sarajevo,679,2,2,True,693
1036943,2023-07-13T17:00:00+00:00,FT,1st Qualifying Round,Gzira United,2264,Glentoran,5352,2,2,True,1067
1036937,2023-07-13T17:00:00+00:00,FT,1st Qualifying Round,Hegelmann Litauen,3861,Shkupi 1927,2265,0,5,True,2612
1036981,2023-07-13T17:00:00+00:00,FT,1st Qualifying Round,Riga,10124,Vikingur Reykjavik,278,2,0,True,
1036995,2023-07-13T17:00:00+00:00,FT,1st Qualifying Round,Dukagjini,14393,Europa,10125,2,1,True,
1036969,2023-07-13T17:30:00+00:00,FT,1st Qualifying Round,Progres Niederkorn,658,Gjilani,12772,2,2,True,
