fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1299236,2025-01-21T15:30:00+00:00,FT,Galatasaray,645,Dynamo Kyiv,572,3,3,True
1299237,2025-01-22T15:30:00+00:00,FT,Beşiktaş,549,Athletic Club,531,4,1,True
1299244,2025-01-23T17:45:00+00:00,FT,1899 Hoffenheim,167,Tottenham,47,2,3,True
1299238,2025-01-23T17:45:00+00:00,FT,AZ Alkmaar,201,AS Roma,497,1,0,True
1299240,2025-01-23T17:45:00+00:00,FT,FC Porto,212,Olympiakos Piraeus,553,0,1,True
1299239,2025-01-23T17:45:00+00:00,FT,Bodo/Glimt,327,Maccabi Tel Aviv,604,3,1,True
1299242,2025-01-23T17:45:00+00:00,FT,Malmo FF,375,Twente,415,2,3,True
1299243,2025-01-23T17:45:00+00:00,FT,Qarabag,556,FCSB,559,2,3,True
1299245,2025-01-23T17:45:00+00:00,FT,Plzen,567,Anderlecht,554,2,0,True
1299241,2025-01-23T17:45:00+00:00,FT,Fenerbahçe,611,Lyon,80,0,0,True
1299250,2025-01-23T20:00:00+00:00,FT,Manchester United,33,Rangers,257,2,1,True
1299246,2025-01-23T20:00:00+00:00,FT,Eintracht Frankfurt,169,Ferencvarosi TC,651,2,0,True
1299247,2025-01-23T20:00:00+00:00,FT,IF Elfsborg,372,Nice,84,1,0,True
1299248,2025-01-23T20:00:00+00:00,FT,Lazio,487,Real Sociedad,548,3,1,True
1299249,2025-01-23T20:00:00+00:00,FT,Ludogorets,566,FC Midtjylland,397,0,2,True
1299251,2025-01-23T20:00:00+00:00,FT,PAOK,619,Slavia Praha,560,2,0,True
1299253,2025-01-23T20:00:00+00:00,FT,Union St. Gilloise,1393,SC Braga,217,2,1,True
1299252,2025-01-23T20:00:00+00:00,FT,Rīgas FS,4160,Ajax,194,1,0,True
1299271,2025-01-30T20:00:00+00:00,FT,Tottenham,47,IF Elfsborg,372,3,0,True
1299261,2025-01-30T20:00:00+00:00,FT,Lyon,80,Ludogorets,566,1,1,True
1299263,2025-01-30T20:00:00+00:00,FT,Nice,84,Bodo/Glimt,327,1,1,True
1299254,2025-01-30T20:00:00+00:00,FT,Ajax,194,Galatasaray,645,2,1,True
1299270,2025-01-30T20:00:00+00:00,FT,SC Braga,217,Lazio,487,1,0,True
1299265,2025-01-30T20:00:00+00:00,FT,Rangers,257,Union St. Gilloise,1393,2,1,True
1299257,2025-01-30T20:00:00+00:00,FT,FC Midtjylland,397,Fenerbahçe,611,2,2,True
1299258,2025-01-30T20:00:00+00:00,FT,Twente,415,Beşiktaş,549,1,0,True
1299267,2025-01-30T20:00:00+00:00,FT,AS Roma,497,Eintracht Frankfurt,169,2,0,True
1299255,2025-01-30T20:00:00+00:00,FT,Athletic Club,531,Plzen,567,3,1,True
1299266,2025-01-30T20:00:00+00:00,FT,Real Sociedad,548,PAOK,619,2,0,True
1299264,2025-01-30T20:00:00+00:00,FT,Olympiakos Piraeus,553,Qarabag,556,3,0,True
1299268,2025-01-30T20:00:00+00:00,FT,Anderlecht,554,1899 Hoffenheim,167,3,4,True
