fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1554444,2026-07-09T16:00:00+00:00,FT,1st Qualifying Round,Qarabag,556,Vestri,4165,3,0,True,
1554445,2026-07-09T17:00:00+00:00,FT,1st Qualifying Round,Sheriff Tiraspol,568,Aluminij,4358,0,0,True,
1554442,2026-07-09T17:00:00+00:00,FT,1st Qualifying Round,Dynamo Kyiv,572,Universitatea Cluj,2599,0,0,True,
1554443,2026-07-09T18:00:00+00:00,FT,1st Qualifying Round,HNK Hajduk Split,608,Žilina,3554,2,0,True,
1554446,2026-07-09T18:00:00+00:00,FT,1st Qualifying Round,Vojvodina,702,Ferencvarosi TC,651,1,2,True,
1554441,2026-07-09T18:00:00+00:00,FT,1st Qualifying Round,CSKA Sofia,853,Derry City,670,3,2,True,
1554448,2026-07-16T17:30:00+00:00,FT,1st Qualifying Round,Derry City,670,CSKA Sofia,853,1,2,True,
1554450,2026-07-16T17:30:00+00:00,PEN,1st Qualifying Round,Universitatea Cluj,2599,Dynamo Kyiv,572,0,0,True,
1554447,2026-07-16T18:00:00+00:00,FT,1st Qualifying Round,Aluminij,4358,Sheriff Tiraspol,568,0,1,True,
1554449,2026-07-16T18:15:00+00:00,FT,1st Qualifying Round,Ferencvarosi TC,651,Vojvodina,702,3,0,True,
1554452,2026-07-16T18:30:00+00:00,FT,1st Qualifying Round,Žilina,3554,HNK Hajduk Split,608,2,1,True,
1554451,2026-07-16T20:00:00+00:00,FT,1st Qualifying Round,Vestri,4165,Qarabag,556,0,3,True,
1593521,2026-07-23T16:00:00+00:00,FT,2nd Qualifying Round,Qarabag,556,CSKA Sofia,853,0,0,True,
1556546,2026-07-23T17:00:00+00:00,FT,2nd Qualifying Round,Tromso,325,Hradec Králové,3723,0,1,True,
1556544,2026-07-23T17:00:00+00:00,FT,2nd Qualifying Round,Hammarby FF,363,Anderlecht,554,1,1,True,
1593522,2026-07-23T17:00:00+00:00,FT,2nd Qualifying Round,Sheriff Tiraspol,568,Maccabi Tel Aviv,604,0,5,True,
1593519,2026-07-23T17:00:00+00:00,FT,2nd Qualifying Round,Dynamo Kyiv,572,PAOK,619,2,3,True,
1593523,2026-07-23T18:00:00+00:00,FT,2nd Qualifying Round,Twente,415,Ferencvarosi TC,651,1,2,True,
1556543,2026-07-23T18:00:00+00:00,FT,2nd Qualifying Round,Beşiktaş,549,FC Midtjylland,397,1,0,True,
1556545,2026-07-23T18:00:00+00:00,FT,2nd Qualifying Round,FC ST. Gallen,1011,Benfica,211,2,1,True,
1593520,2026-07-23T19:00:00+00:00,FT,2nd Qualifying Round,HNK Hajduk Split,608,Pafos,3403,2,0,True,
1593526,2026-07-30T16:00:00+00:00,FT,2nd Qualifying Round,Maccabi Tel Aviv,604,Sheriff Tiraspol,568,1,0,True,
1556549,2026-07-30T17:00:00+00:00,FT,2nd Qualifying Round,FC Midtjylland,397,Beşiktaş,549,0,2,True,
1593527,2026-07-30T17:00:00+00:00,AET,2nd Qualifying Round,Pafos,3403,HNK Hajduk Split,608,2,0,True,
1556550,2026-07-30T17:00:00+00:00,FT,2nd Qualifying Round,Hradec Králové,3723,Tromso,325,3,1,True,
1593528,2026-07-30T17:45:00+00:00,FT,2nd Qualifying Round,PAOK,619,Dynamo Kyiv,572,2,0,True,
1593524,2026-07-30T18:00:00+00:00,PEN,2nd Qualifying Round,CSKA Sofia,853,Qarabag,556,0,0,True,
1556547,2026-07-30T18:30:00+00:00,FT,2nd Qualifying Round,Anderlecht,554,Hammarby FF,363,3,1,True,
1593525,2026-07-30T18:30:00+00:00,FT,2nd Qualifying Round,Ferencvarosi TC,651,Twente,415,2,2,True,
1556548,2026-07-30T19:00:00+00:00,FT,2nd Qualifying Round,Benfica,211,FC ST. Gallen,1011,5,0,True,
1606352,2026-08-04T19:00:00+00:00,FT,3rd Qualifying Round,Shamrock Rovers,652,Egnatia Rrogozhinë,3327,3,1,True,
1607176,2026-08-04T19:00:00+00:00,FT,3rd Qualifying Round,Larne,5354,FC Iberia 1999,3502,0,0,True,
1607561,2026-08-05T18:15:00+00:00,FT,3rd Qualifying Round,Ferencvarosi TC,651,Gornik Zabrze,340,1,0,True,
1607175,2026-08-06T15:00:00+00:00,FT,3rd Qualifying Round,KuPS,1165,Universitatea Craiova,632,1,1,True,
1598830,2026-08-06T16:00:00+00:00,FT,3rd Qualifying Round,Jagiellonia,336,Rangers,257,2,1,True,
1607563,2026-08-06T16:00:00+00:00,FT,3rd Qualifying Round,Maccabi Tel Aviv,604,CSKA Sofia,853,0,3,True,
1607177,2026-08-06T17:00:00+00:00,FT,3rd Qualifying Round,Lech Poznan,347,KI Klaksvik,701,1,0,True,
1607564,2026-08-06T17:00:00+00:00,FT,3rd Qualifying Round,Red Bull Salzburg,571,Pafos,3403,1,0,True,
1607178,2026-08-06T17:00:00+00:00,FT,3rd Qualifying Round,Lincoln Red Imps FC,667,Omonia Nicosia,3402,1,1,True,
1607562,2026-08-06T17:00:00+00:00,FT,3rd Qualifying Round,Hradec Králové,3723,Beşiktaş,549,0,1,True,
