group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Challenger Pro League: Regular Season,1,Zulte Waregem,600,28,18,5,5,55,30,25,59,WLDWW
Challenger Pro League: Regular Season,2,RAAL La Louvière,5902,28,17,8,3,50,24,26,59,WWWWD
Challenger Pro League: Regular Season,3,RWDM,6224,28,17,6,5,42,21,21,57,LLDWW
Challenger Pro League: Regular Season,4,Waasland-beveren,738,28,14,9,5,41,27,14,51,WDWWL
Challenger Pro League: Regular Season,5,Patro Eisden,6222,28,13,10,5,51,28,23,49,WLDDW
Challenger Pro League: Regular Season,6,Club Brugge II,14130,28,14,5,9,46,35,11,47,WDWLW
Challenger Pro League: Regular Season,7,Lokeren-Temse,14128,28,12,5,11,32,35,-3,41,WWWWW
Challenger Pro League: Regular Season,8,Lierse Kempenzonen,6219,28,11,7,10,40,35,5,40,WWLLW
Challenger Pro League: Regular Season,9,Liège,6220,28,9,7,12,38,44,-6,34,WLDLD
Challenger Pro League: Regular Season,10,AS Eupen,739,28,8,6,14,38,47,-9,30,LWLWW
Challenger Pro League: Regular Season,11,Lommel United,259,28,8,5,15,32,46,-14,29,LWWLL
Challenger Pro League: Regular Season,12,Francs Borains,5805,28,8,4,16,29,50,-21,28,LWLLL
Challenger Pro League: Regular Season,13,RSC Anderlecht II,19046,28,5,8,15,41,54,-13,23,LLLLD
Challenger Pro League: Regular Season,14,Seraing United,10244,28,3,10,15,28,55,-27,19,LLDLD
Challenger Pro League: Regular Season,15,KRC Genk II,19045,28,3,5,20,30,62,-32,14,LLLLL
Challenger Pro League: Regular Season,16,Deinze,6214,0,0,0,0,0,0,0,-6,
