group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
"Carioca, Série B1  2025",1,Bonsucesso,13109,11,6,4,1,14,7,7,22,DLWLL
"Carioca, Série B1  2025",2,São Cristóvão RJ,23664,11,5,4,2,14,8,6,19,LLDDW
"Carioca, Série B1  2025",3,Serrano RJ,13117,11,5,3,3,14,11,3,18,DWWWW
"Carioca, Série B1  2025",4,Duque de Caxias,12278,11,5,3,3,10,9,1,18,LWWDD
"Carioca, Série B1  2025",5,Niteroiense,23637,11,4,4,3,16,14,2,16,WDWDL
"Carioca, Série B1  2025",6,Petrópolis,23262,11,5,1,5,11,9,2,16,LWDLL
"Carioca, Série B1  2025",7,Nova Cidade,13113,11,4,4,3,9,9,0,16,WWDLD
"Carioca, Série B1  2025",8,Campo Grande,13087,11,3,6,2,9,8,1,15,WLLDW
"Carioca, Série B1  2025",9,Artsul,13106,11,3,4,4,11,10,1,13,DLLWD
"Carioca, Série B1  2025",10,Carapebus,17737,11,3,3,5,6,13,-7,12,LDWLD
"Carioca, Série B1  2025",11,Paduano,20007,11,3,1,7,12,18,-6,10,LWLLL
"Carioca, Série B1  2025",12,Friburguense,12295,11,1,1,9,3,13,-10,4,LLLLL
