group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
"Paraense, Série A2 - Grupo A 2025",1,Amazônia PA,18376,4,2,2,0,6,4,2,8,WWDD
"Paraense, Série A2 - Grupo A 2025",2,Uniao Paraense,25003,4,1,2,1,5,4,1,5,LDDW
"Paraense, Série A2 - Grupo A 2025",3,ESMAC,25004,4,0,2,2,3,6,-3,2,DLLD
"Paraense, Série A2 - Grupo B 2025",1,Urumajó,26078,4,2,2,0,6,3,3,8,WDDW
"Paraense, Série A2 - Grupo B 2025",2,Paragominas,12287,4,1,2,1,5,4,1,5,LWDD
"Paraense, Série A2 - Grupo B 2025",3,Pinheirense,25001,4,0,2,2,4,8,-4,2,LDDL
"Paraense, Série A2 - Grupo C 2025",1,Sao Raimundo PA,2223,4,3,0,1,11,8,3,9,WWLW
"Paraense, Série A2 - Grupo C 2025",2,Tapajós,13126,4,1,1,2,6,6,0,4,LDWL
"Paraense, Série A2 - Grupo C 2025",3,Izabelense,25000,4,1,1,2,5,8,-3,4,DLWL
"Paraense, Série A2 - Grupo D 2025",1,Canaã,22872,4,2,1,1,7,4,3,7,WDWL
"Paraense, Série A2 - Grupo D 2025",2,Itupiranga,13125,4,2,1,1,8,6,2,7,WDLW
"Paraense, Série A2 - Grupo D 2025",3,Carajás,13123,4,1,0,3,5,10,-5,3,LLLW
