group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Ligue 1 - Groupe A,1,TP Mazembe,6435,22,17,2,3,45,9,36,53,DDWWW
Ligue 1 - Groupe A,2,Saint Eloi Lupopo,8578,22,17,2,3,33,8,25,53,DDDWW
Ligue 1 - Groupe A,3,Sanga Balende,8112,22,11,4,7,24,19,5,37,LLDDL
Ligue 1 - Groupe A,4,Tanganyika,21622,22,12,0,10,34,25,9,36,LWDLL
Ligue 1 - Groupe A,5,Simba,8572,22,10,6,6,25,18,7,36,WDLLW
Ligue 1 - Groupe A,6,Don Bosco,8571,22,8,6,8,24,20,4,30,WDLWL
Ligue 1 - Groupe A,7,Blessing,15285,22,7,7,8,22,27,-5,28,LWWLD
Ligue 1 - Groupe A,8,Groupe Bazano,8575,22,7,3,12,21,33,-12,24,LWLDW
Ligue 1 - Groupe A,9,Malole,24107,22,5,8,9,14,26,-12,23,WWDLW
Ligue 1 - Groupe A,10,Tshinkunku,17767,22,5,7,10,7,19,-12,22,WLLWL
Ligue 1 - Groupe A,11,Lubumbashi Sport,8576,22,5,7,10,17,30,-13,22,LLDDL
Ligue 1 - Groupe A,12,Panda B5,17766,22,1,2,19,8,40,-32,5,LLLLL
Ligue 1 - Groupe B,1,Maniema Union,8064,19,13,4,2,32,10,22,43,DWLLW
Ligue 1 - Groupe B,2,JSK,15286,21,12,5,4,24,12,12,41,DWWWW
Ligue 1 - Groupe B,3,Rangers,10007,21,9,7,5,25,16,9,34,DLDWL
Ligue 1 - Groupe B,4,Vita Club,6437,21,7,8,6,25,18,7,29,LDWDL
Ligue 1 - Groupe B,5,Anges Verts,24105,21,7,8,6,21,21,0,29,DLDLL
Ligue 1 - Groupe B,6,Motema Pembe,8067,21,7,6,8,25,30,-5,27,WLWLW
Ligue 1 - Groupe B,7,Céleste,20468,21,7,5,9,19,25,-6,26,DWWLD
Ligue 1 - Groupe B,8,Renaissance,10085,21,4,9,8,18,27,-9,21,DDLLD
Ligue 1 - Groupe B,9,Dauphins Noirs,8574,12,6,1,5,14,13,1,19,WLWLW
Ligue 1 - Groupe B,10,Kuya Sport,17765,21,5,4,12,18,32,-14,19,LLLLW
Ligue 1 - Groupe B,11,New Jack,24108,21,3,6,12,16,29,-13,15,LLLWL
Ligue 1 - Groupe B,12,Bukavu Dawa,8573,11,3,4,4,14,13,1,13,LLDDW
Ligue 1 - Groupe B,13,Etoile de Kivu,17764,11,4,1,6,8,13,-5,13,WWDLW
Ligue 1 - Championship Round 24/25,1,JSK,15286,16,11,2,3,31,14,17,35,DWWWW
Ligue 1 - Championship Round 24/25,2,Saint Eloi Lupopo,8578,16,10,3,3,22,7,15,33,DDDWW
Ligue 1 - Championship Round 24/25,3,Maniema Union,8064,16,10,2,4,24,7,17,32,DWLLW
Ligue 1 - Championship Round 24/25,4,Motema Pembe,8067,16,10,1,5,23,15,8,31,WLWLW
Ligue 1 - Championship Round 24/25,5,TP Mazembe,6435,16,9,3,4,23,14,9,30,DDWWW
Ligue 1 - Championship Round 24/25,6,Don Bosco,8571,16,8,3,5,22,14,8,27,WDLWL
Ligue 1 - Championship Round 24/25,7,Tanganyika,21622,16,6,1,9,20,26,-6,19,LWDLL
Ligue 1 - Championship Round 24/25,8,Vita Club,6437,16,4,6,6,10,13,-3,18,LDWDL
Ligue 1 - Championship Round 24/25,9,Simba,8572,16,4,5,7,11,17,-6,17,WDLLW
Ligue 1 - Championship Round 24/25,10,Rangers,10007,16,3,6,7,20,25,-5,15,DLDWL
Ligue 1 - Championship Round 24/25,11,Sanga Balende,8112,16,0,6,10,6,23,-17,6,LLDDL
Ligue 1 - Championship Round 24/25,12,Anges Verts,24105,16,0,4,12,15,52,-37,4,DLDLL
Ligue 1 - Relegation Round 24/25,1,Kuya Sport,17765,0,0,0,0,0,0,0,0,LLLLW
Ligue 1 - Relegation Round 24/25,2,Dauphins Noirs,8574,0,0,0,0,0,0,0,0,WLWLW
Ligue 1 - Relegation Round 24/25,3,Malole,24107,0,0,0,0,0,0,0,0,WWDLW
Ligue 1 - Relegation Round 24/25,4,Bukavu Dawa,8573,0,0,0,0,0,0,0,0,LLDDW
Ligue 1 - Relegation Round 24/25,5,Etoile de Kivu,17764,0,0,0,0,0,0,0,0,WWDLW
Ligue 1 - Relegation Round 24/25,6,Groupe Bazano,8575,0,0,0,0,0,0,0,0,LWLDW
Ligue 1 - Relegation Round 24/25,7,Lubumbashi Sport,8576,0,0,0,0,0,0,0,0,LLDDL
Ligue 1 - Relegation Round 24/25,8,Panda B5,17766,0,0,0,0,0,0,0,0,LLLLL
Ligue 1 - Relegation Round 24/25,9,Tshinkunku,17767,0,0,0,0,0,0,0,0,WLLWL
Ligue 1 - Relegation Round 24/25,10,New Jack,24108,0,0,0,0,0,0,0,0,LLLWL
Ligue 1 - Relegation Round 24/25,11,Céleste,20468,0,0,0,0,0,0,0,0,DWWLD
Ligue 1 - Relegation Round 24/25,12,Blessing,15285,0,0,0,0,0,0,0,0,LWWLD
Ligue 1 - Relegation Round 24/25,13,Renaissance,10085,0,0,0,0,0,0,0,0,DDLLD
