group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
1. Division: Championship Round,1,Apollon Limassol,602,32,16,10,6,50,33,17,58,LWWDL
1. Division: Championship Round,2,AEK Larnaca,614,32,14,12,6,44,29,15,54,WWDDW
1. Division: Championship Round,3,Apoel Nicosia,2247,32,14,10,8,48,41,7,52,LDLDW
1. Division: Championship Round,4,Aris,3408,32,13,11,8,37,32,5,50,WLDDL
1. Division: Championship Round,5,Anorthosis,2269,32,13,10,9,48,40,8,49,LDWDL
1. Division: Championship Round,6,Pafos,3403,32,11,13,8,39,30,9,46,WLLDW
1. Division: Relegation Round,1,Omonia Nicosia,3402,32,14,8,10,44,38,6,50,DWWWD
1. Division: Relegation Round,2,AEL,3396,32,14,5,13,43,39,4,47,WWLLW
1. Division: Relegation Round,3,Olympiakos,3415,32,10,10,12,30,31,-1,40,DDWWW
1. Division: Relegation Round,4,Doxa,3398,32,7,11,14,27,41,-14,32,DLWLL
1. Division: Relegation Round,5,Ethnikos Achna,3412,32,5,8,19,21,41,-20,23,LDLDD
1. Division: Relegation Round,6,PAEEK,3419,32,3,8,21,25,61,-36,17,DLLDL
1. Division: Regular Season,1,Apollon Limassol,602,22,14,4,4,37,21,16,46,DDWWW
1. Division: Regular Season,2,Apoel Nicosia,2247,22,11,6,5,35,25,10,39,WLWWW
1. Division: Regular Season,3,AEK Larnaca,614,22,10,9,3,31,17,14,39,WLDDD
1. Division: Regular Season,4,Anorthosis,2269,22,11,5,6,36,26,10,38,DWWWD
1. Division: Regular Season,5,Aris,3408,22,10,6,6,23,20,3,36,DLLDL
1. Division: Regular Season,6,Pafos,3403,22,8,10,4,27,19,8,34,DDWDW
1. Division: Regular Season,7,Omonia Nicosia,3402,22,9,4,9,25,25,0,31,LWLDW
1. Division: Regular Season,8,AEL,3396,22,7,4,11,26,28,-2,25,LDWLL
1. Division: Regular Season,9,Olympiakos,3415,22,5,7,10,14,23,-9,22,DWLDL
1. Division: Regular Season,10,Doxa,3398,22,5,7,10,18,30,-12,22,WDLLL
1. Division: Regular Season,11,PAEEK,3419,22,3,6,13,17,35,-18,15,LLDDL
1. Division: Regular Season,12,Ethnikos Achna,3412,22,3,4,15,13,33,-20,13,DLWDL
