group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Liga 2: Regular season,1,Zbrojovka Brno,3733,30,24,4,2,62,22,40,76,WDWDW
Liga 2: Regular season,2,Táborsko,3726,30,16,5,9,49,33,16,53,LWLWL
Liga 2: Regular season,3,Artis,4257,30,15,7,8,50,37,13,52,LWWLD
Liga 2: Regular season,4,Ústí nad Labem,3735,30,15,3,12,53,46,7,48,LWWWL
Liga 2: Regular season,5,Baník Ostrava II,8621,30,14,5,11,45,38,7,47,WWLDW
Liga 2: Regular season,6,Příbram,3718,30,13,7,10,29,30,-1,46,DDLWW
Liga 2: Regular season,7,Opava,3717,30,11,11,8,42,31,11,44,DLLLD
Liga 2: Regular season,8,Viktoria Žižkov,3729,30,12,5,13,38,52,-14,41,LLLLW
Liga 2: Regular season,9,Slavia Praha II,8618,30,11,5,14,42,47,-5,38,WLWLL
Liga 2: Regular season,10,Vlašim,3730,30,10,8,12,41,34,7,38,LLLWD
Liga 2: Regular season,11,Chrudim,3722,30,9,8,13,38,50,-12,35,WWWLD
Liga 2: Regular season,12,Hanácká,7291,30,10,4,16,32,43,-11,34,WDLWD
Liga 2: Regular season,13,České Budějovice,3736,30,10,4,16,31,43,-12,34,LLDWL
Liga 2: Regular season,14,Prostějov,3725,30,6,12,12,32,44,-12,30,WDDLD
Liga 2: Regular season,15,Vysočina Jihlava,3731,30,7,8,15,32,39,-7,29,WWWLD
Liga 2: Regular season,16,Sparta Praha II,8619,30,7,4,19,27,54,-27,25,LLWWD
