group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
"Superliga , Championship Round",1,Aarhus,406,32,19,10,3,62,32,30,67,WWWDD
"Superliga , Championship Round",2,FC Midtjylland,397,32,16,12,4,72,36,36,60,LDDDW
"Superliga , Championship Round",3,FC Nordsjaelland,398,32,15,5,12,51,46,5,50,WDDLD
"Superliga , Championship Round",4,Brondby,407,32,13,6,13,44,35,9,45,LWLDL
"Superliga , Championship Round",5,Viborg,2070,32,13,5,14,49,51,-2,44,LLDWL
"Superliga , Championship Round",6,Sonderjyske,396,32,12,8,12,44,49,-5,44,LWLWL
Superliga ,1,Aarhus,406,22,15,5,2,46,23,23,50,WWWDD
Superliga ,2,FC Midtjylland,397,22,13,7,2,58,23,35,46,LDDDW
Superliga ,3,Sonderjyske,396,22,10,6,6,34,28,6,36,LWLWL
Superliga ,4,Brondby,407,22,10,4,8,31,22,9,34,LWLDL
Superliga ,5,Viborg,2070,22,10,3,9,37,35,2,33,LLDWL
Superliga ,6,FC Nordsjaelland,398,22,10,1,11,37,39,-2,31,WDDLD
Superliga ,7,FC Copenhagen,400,22,8,5,9,35,34,1,29,WWWDW
Superliga ,8,Odense,405,22,7,6,9,36,46,-10,27,LDLWL
Superliga ,9,Randers FC,401,22,7,5,10,22,27,-5,26,LDWLD
Superliga ,10,FC Fredericia,2061,22,7,3,12,30,49,-19,24,WLDLD
Superliga ,11,Silkeborg,2073,22,5,4,13,24,45,-21,19,LLWWW
Superliga ,12,Vejle,395,22,3,5,14,26,45,-19,14,WWLLL
"Superliga , Relegation Round",1,FC Copenhagen,400,32,15,6,11,67,44,23,51,WWWDW
"Superliga , Relegation Round",2,Odense,405,32,11,8,13,51,60,-9,41,LDLWL
"Superliga , Relegation Round",3,Silkeborg,2073,32,10,6,16,41,67,-26,36,LLWWW
"Superliga , Relegation Round",4,Randers FC,401,32,9,8,15,33,47,-14,35,LDWLD
"Superliga , Relegation Round",5,FC Fredericia,2061,32,9,7,16,45,68,-23,34,WLDLD
"Superliga , Relegation Round",6,Vejle,395,32,5,9,18,36,60,-24,24,WWLLL
