group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
2. Division A 24/25,1,El Mokawloon,1575,38,22,11,5,54,33,21,77,DLWWW
2. Division A 24/25,2,Wadi Degla,1046,38,21,13,4,44,14,30,76,DLDWW
2. Division A 24/25,3,Kahraba Ismailia,20458,38,21,11,6,67,35,32,74,WWWDW
2. Division A 24/25,4,Abu Qair Semad,15731,38,21,11,6,55,24,31,74,WDWLW
2. Division A 24/25,5,El Seka El Hadid,18031,38,14,15,9,41,31,10,57,DWLDD
2. Division A 24/25,6,Olympic El Qanah,13822,38,14,13,11,47,41,6,55,WLWDD
2. Division A 24/25,7,Aswan Sc,1048,38,13,15,10,31,30,1,54,LDLLD
2. Division A 24/25,8,Proxy,20461,38,10,21,7,46,47,-1,51,DDWWL
2. Division A 24/25,9,Asyut Petrol,18021,38,11,16,11,39,42,-3,49,WWDDD
2. Division A 24/25,10,Itesalat,18032,38,12,12,13,36,42,-6,49,WLLDL
2. Division A 24/25,11,Tersana,15739,38,13,9,16,37,43,-6,48,DWDDL
2. Division A 24/25,12,Baladiyyat Al Mehalla,18036,38,9,17,11,25,27,-2,44,LLLDL
2. Division A 24/25,13,El Dakhleya,1032,38,11,10,17,31,45,-14,43,LWWLD
2. Division A 24/25,14,El Mansura,16432,38,10,10,18,25,38,-13,40,LDDDW
2. Division A 24/25,15,Tanta SC,1045,38,9,12,17,27,34,-7,39,DDWLW
2. Division A 24/25,16,Raya Ghazl,21304,38,6,21,11,23,32,-9,39,DWLDD
2. Division A 24/25,17,Dayrout,18022,38,8,14,16,36,45,-9,38,DDWWL
2. Division A 24/25,18,La Viena FC,16436,38,8,14,16,28,39,-11,38,WDLWL
2. Division A 24/25,19,Sporting Alexandria,18044,38,5,14,19,26,47,-21,29,LDLDW
2. Division A 24/25,20,Suez,18034,38,6,11,21,25,54,-29,29,LLLLL
