group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
League One: Regular Season,1,Hull City,64,46,27,8,11,80,38,42,89,LWWDW
League One: Regular Season,2,Peterborough,1350,46,26,9,11,83,46,37,87,WDDWL
League One: Regular Season,3,Blackpool,1356,46,23,11,12,60,37,23,80,WWWWL
League One: Regular Season,4,Sunderland,746,46,20,17,9,70,42,28,77,DWLDD
League One: Regular Season,5,Lincoln,1379,46,22,11,13,69,50,19,77,DLDWL
League One: Regular Season,6,Oxford United,1338,46,22,8,16,77,56,21,74,WWWLW
League One: Regular Season,7,Charlton,1335,46,20,14,12,70,56,14,74,WWDDL
League One: Regular Season,8,Portsmouth,1355,46,21,9,16,65,51,14,72,LWDWL
League One: Regular Season,9,Ipswich,57,46,19,12,15,46,46,0,69,WDWDL
League One: Regular Season,10,Gillingham,1347,46,19,10,17,63,60,3,67,WDDWL
League One: Regular Season,11,Accrington ST,1360,46,18,13,15,63,68,-5,67,WDDDW
League One: Regular Season,12,Crewe,1363,46,18,12,16,56,61,-5,66,WWDDW
League One: Regular Season,13,Milton Keynes Dons,1348,46,18,11,17,64,62,2,65,LDWWW
League One: Regular Season,14,Doncaster,1354,46,19,7,20,63,67,-4,64,LLWDL
League One: Regular Season,15,Fleetwood Town,1336,46,16,12,18,49,46,3,60,LDLWL
League One: Regular Season,16,Burton Albion,748,46,15,12,19,61,73,-12,57,LDWDL
League One: Regular Season,17,Shrewsbury,1352,46,13,15,18,50,57,-7,54,LDLLW
League One: Regular Season,18,Plymouth,1357,46,14,11,21,53,80,-27,53,LLLLD
League One: Regular Season,19,AFC Wimbledon,1333,46,12,15,19,54,70,-16,51,DLDDW
League One: Regular Season,20,Wigan,61,46,13,9,24,54,77,-23,48,LLDWW
League One: Regular Season,21,Rochdale,1339,46,11,14,21,61,78,-17,47,WLDDW
League One: Regular Season,22,Northampton,1337,46,11,12,23,41,67,-26,45,DLDWL
League One: Regular Season,23,Swindon Town,1353,46,13,4,29,55,89,-34,43,WLLWL
League One: Regular Season,24,Bristol Rovers,1334,46,10,8,28,40,70,-30,38,LLLLL
