group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Meistriliiga: Championship Round,1,FC Levadia Tallinn,2273,32,25,3,4,84,38,46,78,DWWDW
Meistriliiga: Championship Round,2,Flora Tallinn,687,32,23,8,1,90,23,67,77,DWWWW
Meistriliiga: Championship Round,3,Paide,3528,32,18,8,6,66,35,31,62,WLLWW
Meistriliiga: Championship Round,4,Kalju Nomme,662,32,13,6,13,57,44,13,45,LDDLL
Meistriliiga: Championship Round,5,Legion,13152,32,11,7,14,49,48,1,40,LDLDL
Meistriliiga: Championship Round,6,Trans Narva,2274,32,9,6,17,36,61,-25,33,WLDLL
Meistriliiga: Relegation Round,1,Kuressaare,3526,30,10,4,16,39,47,-8,34,WWL
Meistriliiga: Relegation Round,2,Tulevik,3531,30,9,3,18,39,62,-23,30,LLW
Meistriliiga: Relegation Round,3,Tammeka,3530,30,7,4,19,34,72,-38,25,LWW
Meistriliiga: Relegation Round,4,Vaprus,3525,30,5,3,22,24,88,-64,18,WLL
Meistriliiga: Regular Season,1,FC Levadia Tallinn,2273,27,22,1,4,75,33,42,67,LLWWW
Meistriliiga: Regular Season,2,Flora Tallinn,687,27,19,7,1,80,21,59,64,WWDDW
Meistriliiga: Regular Season,3,Paide,3528,27,15,8,4,52,27,25,53,DWLWL
Meistriliiga: Regular Season,4,Kalju Nomme,662,27,13,4,10,51,34,17,43,WDWLL
Meistriliiga: Regular Season,5,Legion,13152,27,11,5,11,45,36,9,38,WDLWW
Meistriliiga: Regular Season,6,Trans Narva,2274,27,8,5,14,33,52,-19,29,LLDLL
Meistriliiga: Regular Season,7,Kuressaare,3526,27,8,4,15,33,46,-13,28,DLWDW
Meistriliiga: Regular Season,8,Tulevik,3531,27,8,3,16,37,57,-20,27,WLDLL
Meistriliiga: Regular Season,9,Tammeka,3530,27,5,4,18,29,69,-40,19,LWWLL
Meistriliiga: Regular Season,10,Vaprus,3525,27,4,3,20,20,80,-60,15,LLLLL
