group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
National 2: Group A,1,Aubagne,9930,26,14,10,2,33,17,16,52,DDWWW
National 2: Group A,2,Le Puy Foot,3069,26,12,10,4,39,24,15,46,DDDLW
National 2: Group A,3,Grasse,9257,26,10,12,4,31,21,10,42,WWWDL
National 2: Group A,4,Jura Sud Foot,9255,26,10,11,5,34,23,11,41,LWWDL
National 2: Group A,5,Cannes,9932,26,9,13,4,41,21,20,40,WDDWL
National 2: Group A,6,Hyères,3061,26,9,10,7,37,22,15,37,DDLDW
National 2: Group A,7,Fréjus St-Raphaël,3051,26,8,12,6,25,19,6,36,WWLLW
National 2: Group A,8,Toulon,3125,26,9,8,9,30,29,1,35,DDWLL
National 2: Group A,9,Andrézieux,3009,26,9,7,10,26,28,-2,34,DLWDW
National 2: Group A,10,Olympique d'Alès,3093,26,7,8,11,23,39,-16,29,DWWWW
National 2: Group A,11,Thonon Évian,9313,26,7,7,12,27,35,-8,28,LDLWL
National 2: Group A,12,Chamalières,3033,26,5,11,10,26,40,-14,26,DLLDL
National 2: Group A,13,Bourgoin-Jallieu,9268,26,4,9,13,24,43,-19,21,DLLLL
National 2: Group A,14,Toulouse II,9949,26,1,8,17,24,59,-35,11,LLLDW
