group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
National 2: Group B,1,Gobelins,9238,26,13,9,4,41,24,17,48,WWDWW
National 2: Group B,2,La Roche VF,9915,26,13,9,4,40,19,21,48,WWLWW
National 2: Group B,3,Libourne,13609,26,10,10,6,44,35,9,40,LDLLW
National 2: Group B,4,St-Pryvé St-Hilaire,3117,26,10,8,8,32,27,5,38,WLWDL
National 2: Group B,5,Bergerac,3022,26,10,10,6,36,29,7,37,WDWWL
National 2: Group B,6,Angoulême,3011,26,10,7,9,33,32,1,37,LLWWW
National 2: Group B,7,Blois,3026,26,10,7,9,37,35,2,37,LLWLL
National 2: Group B,8,Bourges Foot 18,17360,26,11,4,11,30,38,-8,37,LWWLW
National 2: Group B,9,Les Herbiers,1308,26,9,10,7,37,28,9,37,WDDLL
National 2: Group B,10,Saumur,3225,26,9,7,10,37,36,1,34,WWDWW
National 2: Group B,11,Romorantin,3220,26,9,6,11,33,38,-5,33,WWLLL
National 2: Group B,12,Avoine OCC,3151,26,6,8,12,23,38,-15,26,LDLDW
National 2: Group B,13,Trélissac,9246,26,3,12,11,25,42,-17,21,LLDDL
National 2: Group B,14,Angers SCO II,9236,26,2,7,17,19,46,-27,13,LLLDL
