group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
National 2: Group D,1,Le Puy Foot,3069,30,18,7,5,40,17,23,61,WWWWW
National 2: Group D,2,Bergerac,3022,30,17,9,4,38,16,22,60,WWDLW
National 2: Group D,3,Bourges Foot 18,17360,30,17,5,8,46,25,21,56,WWWWW
National 2: Group D,4,Andrézieux,3009,30,15,6,9,43,30,13,51,WLLDL
National 2: Group D,5,Angoulême,3011,30,13,10,7,33,25,8,49,LDDWL
National 2: Group D,6,Beziers,109,30,13,8,9,45,36,9,47,WLWWW
National 2: Group D,7,Moulins-Yzeure Foot 03,3204,30,11,11,8,33,28,5,44,WDLWW
National 2: Group D,8,Canet Roussillon,3030,30,14,6,10,35,36,-1,37,DWWLW
National 2: Group D,9,Les Herbiers,1308,30,9,10,11,31,34,-3,37,DLDDL
National 2: Group D,10,Trélissac,9246,30,9,8,13,27,34,-7,35,LLDWW
National 2: Group D,11,Nantes II,9244,30,8,10,12,33,37,-4,34,LDLLL
National 2: Group D,12,Angers SCO II,9236,30,7,12,11,27,32,-5,33,LLWDL
National 2: Group D,13,Chamalières,3033,30,8,8,14,30,41,-11,32,DWLLD
National 2: Group D,14,Montpellier II,9243,30,8,6,16,33,44,-11,30,LWLLL
National 2: Group D,15,Colomiers,3169,30,6,9,15,30,46,-16,27,LLWLL
National 2: Group D,16,Mont-de-Marsan,10165,30,1,7,22,24,67,-43,10,DDLDD
