group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Stars League 24/25,1,Al Shorta,5242,38,26,9,3,75,23,52,87,DWWWW
Stars League 24/25,2,Al Zawra'a,8010,38,23,8,7,56,28,28,77,LWLLW
Stars League 24/25,3,Zakho,15547,38,20,11,7,57,25,32,71,DWDWD
Stars League 24/25,4,Al Talaba,11067,38,18,9,11,40,27,13,63,LWWDL
Stars League 24/25,5,Al Quwa Al Jawiya,8009,38,17,9,12,51,43,8,60,WLLDW
Stars League 24/25,6,Naft,11071,38,15,14,9,32,27,5,59,WWDLD
Stars League 24/25,7,Duhok,20463,38,16,9,13,46,42,4,57,WLLLD
Stars League 24/25,8,Al-Karma,25063,38,15,11,12,43,35,8,56,DLWWW
Stars League 24/25,9,Newroz,25062,38,14,11,13,46,41,5,53,DWWDD
Stars League 24/25,10,Al-Qasim,15546,38,13,13,12,43,43,0,52,DLLWL
Stars League 24/25,11,Naft Maysan,11074,38,14,9,15,42,46,-4,51,LWLWD
Stars League 24/25,12,Erbil,11070,38,15,5,18,49,61,-12,50,LLWWL
Stars League 24/25,13,Al Kahrabaa,11064,38,12,13,13,39,41,-2,49,DWDLL
Stars League 24/25,14,Al Najaf,11066,38,11,13,14,37,36,1,46,WLDDW
Stars League 24/25,15,Al Karkh,15544,38,12,10,16,40,49,-9,46,LWWLL
Stars League 24/25,16,Al Minaa Basra,11065,38,11,10,17,39,44,-5,43,WLLDL
Stars League 24/25,17,Diyala,25061,38,10,11,17,31,50,-19,41,LDWWW
Stars League 24/25,18,Naft Al-Janoob,11072,38,8,9,21,32,57,-25,33,WDLLD
Stars League 24/25,19,Al Hudod,11063,38,8,2,28,37,79,-42,26,WLWWL
Stars League 24/25,20,Karbala,20464,38,4,10,24,27,65,-38,22,LLLLL
