group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Serie C: Girone A,1,Padova,870,38,26,8,4,65,24,41,86,DWWWD
Serie C: Girone A,2,Vicenza Virtus,1584,38,25,8,5,59,24,35,83,LWLWW
Serie C: Girone A,3,Feralpisalo,884,38,21,9,8,53,30,23,72,LWWDW
Serie C: Girone A,4,Albinoleffe,879,38,16,12,10,46,38,8,60,DWLWL
Serie C: Girone A,5,Renate,875,38,18,6,14,35,36,-1,60,WWDLW
Serie C: Girone A,6,Giana Erminio,865,38,16,9,13,44,39,5,57,DDWWL
Serie C: Girone A,7,Trento,17147,38,14,15,9,47,42,5,57,WLDLW
Serie C: Girone A,8,Atalanta II,22104,38,16,9,13,65,53,12,57,WLWDW
Serie C: Girone A,9,Virtus Verona,1707,38,15,11,12,52,43,9,56,DDWWL
Serie C: Girone A,10,Arzignano Valchiampo,6378,38,15,8,15,45,46,-1,53,WWWLL
Serie C: Girone A,11,Novara,513,38,14,12,12,42,39,3,52,LWDWL
Serie C: Girone A,12,Alcione,17824,38,13,8,17,33,37,-4,47,DLLDW
Serie C: Girone A,13,Lecco,6379,38,10,13,15,36,47,-11,43,LLWLW
Serie C: Girone A,14,Pergolettese,6380,38,11,9,18,36,49,-13,42,WLLLL
Serie C: Girone A,15,Lumezzane,1689,38,9,15,14,40,55,-15,42,DLDDD
Serie C: Girone A,16,Triestina,877,38,12,8,18,40,45,-5,39,WLLWL
Serie C: Girone A,17,PRO Vercelli,526,38,9,10,19,30,51,-21,37,LLDLL
Serie C: Girone A,18,Pro Patria,1706,38,6,16,16,32,44,-12,34,LWDDL
Serie C: Girone A,19,Caldiero Terme,9465,38,8,9,21,39,64,-25,33,WWLDD
Serie C: Girone A,20,Clodiense,9469,38,4,9,25,34,67,-33,21,LLLLW
