group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
National Division,1,FC Differdange 03,684,30,25,3,2,69,7,62,78,LDWDW
National Division,2,UNA Strassen,2036,30,18,6,6,62,23,39,60,WWWLW
National Division,3,F91 Dudelange,578,30,17,6,7,67,34,33,57,WLLWD
National Division,4,Racing FC Union Luxembourg,2030,30,17,6,7,50,22,28,57,WDWDW
National Division,5,Progres Niederkorn,658,30,16,7,7,54,30,24,55,WLLWL
National Division,6,Swift Hesperange,11907,30,16,6,8,56,34,22,54,WWLLW
National Division,7,US Mondorf-les-bains,2037,30,16,5,9,53,39,14,53,WWWWW
National Division,8,AS Jeunesse Esch,2034,30,11,9,10,41,48,-7,42,LWWWL
National Division,9,Union Titus Petange,2032,30,11,8,11,41,32,9,41,LWWLD
National Division,10,US Hostert,2040,30,11,5,14,50,69,-19,38,DLDLL
National Division,11,Victoria Rosport,2038,30,8,10,12,29,45,-16,34,WLLDD
National Division,12,Rodange 91,2039,30,7,8,15,40,62,-22,29,LWDDD
National Division,13,Wiltz,11906,30,8,5,17,37,61,-24,29,DLLDW
National Division,14,Bettembourg,10881,30,7,2,21,29,59,-30,23,LWLDL
National Division,15,Fola Esch,626,30,4,1,25,18,78,-60,13,LLLWL
National Division,16,Mondercange,15886,30,3,3,24,21,74,-53,12,LLWLL
