group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Super League,1,Johor Darul Takzim FC,2523,24,23,1,0,90,8,82,70,WWWWW
Super League,2,Selangor,2526,24,16,4,4,44,16,28,52,WWLWD
Super League,3,Sabah FA,2505,24,11,7,6,41,33,8,40,LDWDD
Super League,4,Kuching FA,10108,24,10,9,5,38,28,10,39,WLWWW
Super League,5,Terengganu,2518,24,9,8,7,35,26,9,35,WLLDW
Super League,6,Kuala Lumpur FA,2517,24,11,4,9,40,33,7,31,WLLWW
Super League,7,Perak,2524,24,8,6,10,36,36,0,30,WLWDL
Super League,8,Pahang,2525,24,7,8,9,35,39,-4,29,WWWWL
Super League,9,Pdrm,2500,24,7,6,11,25,36,-11,27,LWLWL
Super League,10,Penang,2504,24,6,8,10,31,38,-7,26,LWWLD
Super League,11,Kedah,2527,24,6,6,12,21,51,-30,21,LDLLL
Super League,12,Negeri Sembilan,2502,24,4,4,16,23,49,-26,16,LWLLD
Super League,13,Kelantan United,10107,24,2,1,21,16,82,-66,7,LLLLL
