group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Eredivisie,1,Ajax,194,34,26,5,3,98,19,79,83,DWDWW
Eredivisie,2,PSV Eindhoven,197,34,26,3,5,86,42,44,81,WWDWW
Eredivisie,3,Feyenoord,209,34,22,5,7,76,34,42,71,LWDWW
Eredivisie,4,Twente,415,34,20,8,6,55,37,18,68,WWLDW
Eredivisie,5,AZ Alkmaar,201,34,18,7,9,64,44,20,61,LDDDW
Eredivisie,6,Vitesse,200,34,15,6,13,42,51,-9,51,DWLWL
Eredivisie,7,Utrecht,207,34,12,11,11,51,46,5,47,LDDWL
Eredivisie,8,Heerenveen,210,34,11,8,15,37,50,-13,41,WLWDL
Eredivisie,9,Cambuur,420,34,11,6,17,53,70,-17,39,WDDDL
Eredivisie,10,Waalwijk,417,34,9,11,14,40,51,-11,38,WWDWL
Eredivisie,11,NEC Nijmegen,413,34,10,8,16,38,52,-14,38,LLWLL
Eredivisie,12,Groningen,202,34,9,9,16,41,55,-14,36,LLLLL
Eredivisie,13,GO Ahead Eagles,410,34,10,6,18,37,51,-14,36,LLLLL
Eredivisie,14,Sparta Rotterdam,426,34,8,11,15,30,48,-18,35,WWWDL
Eredivisie,15,Fortuna Sittard,205,34,10,5,19,36,67,-31,35,WLWLW
Eredivisie,16,Heracles,206,34,9,7,18,33,49,-16,34,LLLDW
Eredivisie,17,Willem II,195,34,9,6,19,32,57,-25,33,WDWLW
Eredivisie,18,PEC Zwolle,193,34,7,6,21,26,52,-26,27,LLDLW
