group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Girabola,1,Petro de Luanda,4922,30,20,8,2,46,13,33,68,WWLWD
Girabola,2,Wiliete,6383,30,18,6,6,49,23,26,60,LDWLD
Girabola,3,1º de Agosto,4913,30,14,13,3,35,19,16,55,DDWWL
Girabola,4,Sagrada Esperança,4925,30,13,10,7,28,23,5,49,WLLWD
Girabola,5,Onze Bravos,4921,30,11,15,4,35,21,14,48,WWWLD
Girabola,6,São Salvador,22359,30,14,6,10,38,25,13,48,WWWLW
Girabola,7,Interclube,4920,30,10,12,8,34,20,14,42,LWWLD
Girabola,8,Desportivo Huíla,4918,30,12,6,12,27,24,3,42,LLWWL
Girabola,9,Kabuscorp,4929,30,9,12,9,26,26,0,39,DDDWW
Girabola,10,CD Lunda-Sul,17987,30,8,11,11,24,28,-4,35,DLDWD
Girabola,11,Académica do Lobito,4915,30,7,11,12,22,36,-14,32,LDLLD
Girabola,12,Recreativo do Libolo,4924,30,6,12,12,26,33,-7,30,DLWLL
Girabola,13,Luanda City,24909,30,7,7,16,25,44,-19,28,WWLLL
Girabola,14,Santa Rita,10150,30,6,8,16,13,32,-19,26,WWLWW
Girabola,15,Isaac de Benguela,20246,30,5,8,17,27,47,-20,23,LLLWD
Girabola,16,Carmona,24908,30,3,9,18,11,52,-41,18,LLLLW
