group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Premier League,1,Sardarapat,26198,1,1,0,0,4,1,3,3,W
Premier League,2,Alashkert,582,1,1,0,0,3,0,3,3,W
Premier League,3,FC Noah,3684,1,1,0,0,3,0,3,3,W
Premier League,4,Ararat-Armenia,3683,1,1,0,0,4,3,1,3,W
Premier League,5,Pyunik Yerevan,709,1,0,1,0,2,2,0,1,D
Premier League,6,FC Urartu,2276,1,0,1,0,2,2,0,1,D
Premier League,7,Shirak,3686,1,0,1,0,0,0,0,1,D
Premier League,8,BKMA,6279,1,0,1,0,0,0,0,1,D
Premier League,9,Gandzasar,688,1,0,0,1,3,4,-1,0,L
Premier League,10,Van,6286,1,0,0,1,1,4,-3,0,L
Premier League,11,Ararat,3682,1,0,0,1,0,3,-3,0,L
Premier League,12,Syunik,20087,1,0,0,1,0,3,-3,0,L
