group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Regular Season,1,Dakota,8237,9,9,0,0,45,11,34,27,WWWWW
Regular Season,2,Britannia,8234,9,6,1,2,18,12,6,19,WWLLW
Regular Season,3,La Fama,8239,9,6,0,3,31,13,18,18,WLLWL
Regular Season,4,Sporting,26895,9,5,1,3,36,13,23,16,WWWLW
Regular Season,5,RCA,8240,9,5,0,4,20,12,8,15,LLWWW
Regular Season,6,Bubali,8235,9,4,1,4,27,19,8,13,WDWWL
Regular Season,7,Nacional,8232,9,4,0,5,18,13,5,12,LWWWL
Regular Season,8,River Plate,8242,9,2,2,5,17,29,-12,8,LDLLD
Regular Season,9,Estrella,8238,9,1,1,7,19,37,-18,4,LLLLD
Regular Season,10,Real Koyari,26894,9,0,0,9,3,75,-72,0,LLLLL
