group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Premier League,1,Dinamo Minsk,394,14,10,3,1,26,12,14,33,WDWWW
Premier League,2,ML Vitebsk,7808,14,9,4,1,30,13,17,31,WWDLW
Premier League,3,FC Isloch Minsk R.,391,15,9,4,2,28,13,15,31,WWWWW
Premier League,4,Dinamo Brest,386,16,8,3,5,28,15,13,27,WWWDW
Premier League,5,FC Gomel,389,16,7,5,4,21,14,7,26,LDWDW
Premier League,6,FC Minsk,380,16,7,4,5,23,21,2,25,WWLDD
Premier League,7,Torpedo Zhodino,385,15,6,5,4,23,13,10,23,LLWWD
Premier League,8,FC Vitebsk,382,16,6,5,5,17,16,1,23,WWWDL
Premier League,9,Arsenal,9419,16,5,6,5,19,23,-4,21,LLWDW
Premier League,10,Neman,387,15,6,3,6,16,15,1,21,DLLLW
Premier League,11,Baranovichi,3383,16,4,4,8,18,30,-12,16,LWDDL
Premier League,12,Slavia Mozyr,751,15,3,6,6,14,22,-8,15,LLDLD
Premier League,13,FC Dnepr Mogilev,384,16,2,6,8,15,25,-10,12,DLLWL
Premier League,14,Belshina,3384,15,3,2,10,13,30,-17,11,LDLLD
Premier League,15,Bate Borisov,388,14,1,6,7,9,17,-8,9,LLLDD
Premier League,16,Naftan,750,15,1,4,10,13,34,-21,7,DLLWL
