group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
"Pro League , Championship Round",1,Club Brugge KV,569,40,28,4,8,91,45,46,57,WDWWW
"Pro League , Championship Round",2,Union St. Gilloise,1393,40,25,11,4,66,27,39,53,WDLWL
"Pro League , Championship Round",3,St. Truiden,735,40,22,5,13,61,46,15,43,WLDLW
"Pro League , Championship Round",4,Anderlecht,554,40,15,10,15,59,62,-3,33,LWDDL
"Pro League , Championship Round",5,Gent,631,40,13,12,15,53,57,-4,29,WLDDD
"Pro League , Championship Round",6,KV Mechelen,266,40,13,12,15,48,61,-13,29,LDDLW
"Pro League , Relegation Round",1,Zulte Waregem,600,36,13,9,14,53,53,0,48,WWWWW
"Pro League , Relegation Round",2,Cercle Brugge,741,36,10,11,15,53,58,-5,41,LLWWW
"Pro League , Relegation Round",3,RAAL La Louvière,5902,36,7,13,16,35,50,-15,34,WLLLL
"Pro League , Relegation Round",4,Dender,6215,36,5,10,21,31,62,-31,25,DLLWL
Pro League ,1,Union St. Gilloise,1393,30,19,9,2,50,17,33,66,WDLWL
Pro League ,2,Club Brugge KV,569,30,20,3,7,59,36,23,63,WDWWW
Pro League ,3,St. Truiden,735,30,18,3,9,47,35,12,57,WLDLW
Pro League ,4,Gent,631,30,13,6,11,49,43,6,45,WLDDD
Pro League ,5,KV Mechelen,266,30,12,9,9,39,37,2,45,LDDLW
Pro League ,6,Anderlecht,554,30,12,8,10,43,39,4,44,LWDDL
Pro League ,7,Genk,742,30,11,9,10,46,47,-1,42,LWDDW
Pro League ,8,Standard Liege,733,30,11,7,12,27,35,-8,40,LWDWW
Pro League ,9,KVC Westerlo,261,30,10,9,11,36,40,-4,39,LLWLD
Pro League ,10,Antwerp,740,30,9,8,13,31,32,-1,35,WDLLL
Pro League ,11,Charleroi,736,30,9,7,14,38,42,-4,34,WDLWW
Pro League ,12,OH Leuven,260,30,9,7,14,32,43,-11,34,LDWLD
Pro League ,13,Zulte Waregem,600,30,8,8,14,38,47,-9,32,WWWWW
Pro League ,14,Cercle Brugge,741,30,7,10,13,39,47,-8,31,LLWWW
Pro League ,15,RAAL La Louvière,5902,30,6,13,11,30,37,-7,31,WLLLL
Pro League ,16,Dender,6215,30,3,10,17,24,51,-27,19,DLLWL
"Pro League , Qualifying Round",1,Genk,742,40,15,14,11,57,53,4,38,LWDDW
"Pro League , Qualifying Round",2,Standard Liege,733,40,16,9,15,44,46,-2,37,LWDWW
"Pro League , Qualifying Round",3,Charleroi,736,40,14,9,17,50,50,0,34,WDLWW
"Pro League , Qualifying Round",4,KVC Westerlo,261,40,14,10,16,50,57,-7,33,LLWLD
"Pro League , Qualifying Round",5,Antwerp,740,40,13,9,18,43,48,-5,31,WDLLL
"Pro League , Qualifying Round",6,OH Leuven,260,40,10,10,20,41,60,-19,23,LDWLD
