group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Premijer Liga,1,Borac Banja Luka,3364,33,24,6,3,68,26,42,78,LWWWW
Premijer Liga,2,Zrinjski,588,33,24,4,5,76,27,49,76,WWWWW
Premijer Liga,3,Velež,3381,33,16,11,6,50,28,22,59,WDWWL
Premijer Liga,4,FK Sarajevo,679,33,16,8,9,57,38,19,53,DDWWW
Premijer Liga,5,Posušje,14146,33,13,9,11,35,29,6,48,WDWLL
Premijer Liga,6,Zeljeznicar Sarajevo,654,33,13,4,16,35,36,-1,43,WWDWW
Premijer Liga,7,Sloga Doboj,8504,33,13,3,17,37,50,-13,42,DLLLW
Premijer Liga,8,Siroki Brijeg,642,33,11,6,16,37,45,-8,39,DWLLL
Premijer Liga,9,GOŠK Gabela,3356,33,8,10,15,38,64,-26,34,DDLLL
Premijer Liga,10,Igman Konjic,3367,33,9,6,18,40,67,-27,33,LLDDW
Premijer Liga,11,Tuzla City,3361,33,7,6,20,45,69,-24,27,LLLLL
Premijer Liga,12,Zvijezda 09,3362,33,6,3,24,33,72,-39,21,LLLDL
