group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
"Candango, Serie A 2026",1,Gama,1222,9,7,2,0,15,4,11,23,DWDDW
"Candango, Serie A 2026",2,Samambaia,15612,9,6,2,1,21,5,16,20,LDWWW
"Candango, Serie A 2026",3,Sobradinho EC,2226,9,5,2,2,11,8,3,17,DWDWL
"Candango, Serie A 2026",4,Ceilândia,7771,9,5,1,3,17,12,5,16,LDWWL
"Candango, Serie A 2026",5,Capital Brasilia,12921,9,4,3,2,19,10,9,15,DDWWL
"Candango, Serie A 2026",6,Brasiliense,2208,9,4,3,2,13,7,6,15,LDWWW
"Candango, Serie A 2026",7,Real FC,12925,9,3,1,5,11,13,-2,10,WWLLL
"Candango, Serie A 2026",8,Paranoá,12924,9,2,0,7,8,24,-16,6,LLLWL
"Candango, Serie A 2026",9,Brasília,10685,9,1,0,8,4,19,-15,3,LLLLW
"Candango, Serie A 2026",10,ARUC,26741,9,1,0,8,3,20,-17,3,LLLLL
