group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Regular Season,1,Estrela do Norte,12282,4,4,0,0,10,0,10,12,WWWW
Regular Season,2,Linhares,12928,3,3,0,0,8,0,8,9,WWW
Regular Season,3,Rive,27799,4,3,0,1,6,4,2,9,WWWL
Regular Season,4,Doze,27798,4,2,1,1,6,4,2,7,WDLW
Regular Season,5,Sport Brasil ES,23568,4,2,0,2,6,4,2,6,LLWW
Regular Season,6,Audax São Mateus,27711,4,1,1,2,4,5,-1,4,DLWL
Regular Season,7,GEL,25010,4,0,3,1,1,5,-4,3,DLDD
Regular Season,8,Tupy,25011,4,1,0,3,2,8,-6,3,LLLW
Regular Season,9,CTE Colatina,18810,3,0,1,2,1,6,-5,1,LDL
Regular Season,10,Pinheiros,15608,4,0,0,4,2,10,-8,0,LLLL
