group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Cearense - 2,1,Icasa,7874,8,5,1,2,14,7,7,16,LDWDW
Cearense - 2,2,Crato,13092,8,4,3,1,8,5,3,15,LDWLW
Cearense - 2,3,Cariri,16750,8,2,2,4,6,7,-1,8,LDLWL
Cearense - 2,4,Barbalha,9998,8,2,2,4,4,8,-4,8,LDLWL
Cearense - 2,5,Guarani De Juazeiro,1216,8,2,2,4,6,11,-5,8,WLWDW
Cearense - 2,1,Itapipoca,15506,8,5,0,3,11,10,1,15,WDWDL
Cearense - 2,2,Crateús,20778,8,4,1,3,10,4,6,13,LDWWW
Cearense - 2,3,Guarany de Sobral,7857,8,4,1,3,12,8,4,13,LWLWW
Cearense - 2,4,Caucaia,10000,8,3,2,3,9,14,-5,11,LDWLL
Cearense - 2,5,Uniclinic Atletico Clube,2229,8,0,4,4,6,12,-6,4,WDLLL
