group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Paranaense 1: Group Stage,1,Operario-PR,1223,11,6,4,1,18,7,11,22,WDWDW
Paranaense 1: Group Stage,2,Atletico Paranaense,134,11,6,4,1,19,9,10,22,WDWWW
Paranaense 1: Group Stage,3,Coritiba,147,11,6,2,3,19,8,11,20,WDWWL
Paranaense 1: Group Stage,4,Londrina,148,11,6,2,3,16,10,6,20,LWDWL
Paranaense 1: Group Stage,5,Cianorte,1194,11,5,2,4,18,13,5,17,LWLDW
Paranaense 1: Group Stage,6,Maringá,7833,11,5,1,5,18,15,3,16,LWLDL
Paranaense 1: Group Stage,7,Azuriz,12939,11,5,0,6,8,13,-5,15,WLLLL
Paranaense 1: Group Stage,8,Independiente FSJ,12941,11,4,1,6,13,21,-8,13,WWWLW
Paranaense 1: Group Stage,9,Cascavel,10673,11,3,4,4,7,10,-3,13,LDLLW
Paranaense 1: Group Stage,10,Andraus Brasil,12936,11,3,1,7,9,19,-10,10,LLWWL
Paranaense 1: Group Stage,11,Rio Branco PR,12914,11,3,1,7,11,22,-11,10,WLDLL
Paranaense 1: Group Stage,12,Parana,122,11,1,4,6,4,13,-9,7,LLLDW
