group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
"Sergipano, Serie A1 2026",1,Sergipe,2224,9,6,2,1,13,6,7,20,WDWDL
"Sergipano, Serie A1 2026",2,AO Itabaiana,2204,9,5,2,2,12,4,8,17,WLWWD
"Sergipano, Serie A1 2026",3,Lagarto,10002,9,4,4,1,16,8,8,16,LWWLD
"Sergipano, Serie A1 2026",4,Confiança,7772,9,4,3,2,10,6,4,15,LDWLW
"Sergipano, Serie A1 2026",5,Guarany SE,24812,9,3,3,3,10,10,0,12,LDLWL
"Sergipano, Serie A1 2026",6,América SE,18298,9,2,6,1,8,8,0,12,LLDWD
"Sergipano, Serie A1 2026",7,Falcon,18299,9,3,2,4,8,10,-2,11,LWWLW
"Sergipano, Serie A1 2026",8,Atlético Gloriense,15604,9,3,1,5,14,13,1,10,WLWLL
"Sergipano, Serie A1 2026",9,Dorense,13122,9,2,1,6,9,23,-14,7,LLLLW
"Sergipano, Serie A1 2026",10,Desportiva Aracaju,24809,9,0,2,7,5,17,-12,2,LLLLD
