group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Ligue A,1,Aigle Noir,4447,30,22,5,3,62,14,48,71,WWDWW
Ligue A,2,Musongati,12184,30,18,6,6,56,18,38,60,WWWWL
Ligue A,3,Bumamuru,12177,30,16,10,4,48,23,25,58,DLLWL
Ligue A,4,Vital'O,12186,30,15,10,5,54,26,28,55,WWWDW
Ligue A,5,Flambeau du Centre,12179,30,15,10,5,52,25,27,55,WWLLW
Ligue A,6,Rukinzo,8070,30,15,7,8,63,35,28,52,LLWWW
Ligue A,7,Olympic Star,8092,30,14,8,8,39,22,17,50,DWDLL
Ligue A,8,Inter Star,12180,30,15,3,12,47,42,5,48,LLWWW
Ligue A,9,Le Messager Ngozi,8104,30,12,10,8,31,27,4,46,DWDWW
Ligue A,10,Ngozi City,12185,30,11,7,12,40,44,-4,40,LWLDL
Ligue A,11,Royal Vision,24755,30,8,8,14,41,57,-16,32,LLDDW
Ligue A,12,Kayanza United,12181,30,8,4,18,39,65,-26,28,LLLLL
Ligue A,13,Dynamik,12178,30,6,9,15,30,54,-24,27,WWWLW
Ligue A,14,Académie Deira,24754,30,6,5,19,27,59,-32,23,WLWDL
Ligue A,15,Moso Sugar,21991,30,4,1,25,22,82,-60,13,LLLLL
Ligue A,16,Lydia Ludic,12183,30,3,1,26,25,83,-58,10,DLLLL
