group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
1. Division: Championship Round,1,Apoel Nicosia,2247,36,22,7,7,63,24,39,73,DLWWL
1. Division: Championship Round,2,AEK Larnaca,614,36,21,10,5,57,31,26,73,DDWWW
1. Division: Championship Round,3,Omonia Nicosia,3402,36,20,9,7,62,37,25,69,DWLWW
1. Division: Championship Round,4,Aris,3408,36,20,5,11,63,34,29,65,WDLLL
1. Division: Championship Round,5,Pafos,3403,36,18,8,10,60,33,27,62,DDWLL
1. Division: Championship Round,6,Anorthosis,2269,36,15,8,13,46,42,4,53,LDLLW
1. Division: Relegation Round,1,Apollon Limassol,602,40,18,12,10,64,38,26,66,WWDDW
1. Division: Relegation Round,2,AEL,3396,40,15,9,16,61,68,-7,54,WLDWL
1. Division: Relegation Round,3,Nea Salamis,3401,40,14,9,17,52,61,-9,51,DWWLL
1. Division: Relegation Round,4,Ethnikos Achna,3412,40,13,11,16,70,79,-9,50,LWLDL
1. Division: Relegation Round,5,Karmiotissa,3413,40,10,10,20,58,77,-19,40,LLDDW
1. Division: Relegation Round,6,Doxa,3398,40,10,5,25,34,77,-43,35,WLDWW
1. Division: Relegation Round,7,Othellos,3418,40,8,9,23,48,77,-29,33,LWWDW
1. Division: Relegation Round,8,AE Zakakiou,3404,40,2,12,26,40,100,-60,18,DLLLL
1. Division: Regular Season,1,Apoel Nicosia,2247,26,18,5,3,54,16,38,59,WWDDW
1. Division: Regular Season,2,Aris,3408,26,18,2,6,53,21,32,56,WLWWW
1. Division: Regular Season,3,AEK Larnaca,614,26,15,7,4,44,26,18,52,WWLDW
1. Division: Regular Season,4,Pafos,3403,26,15,5,6,48,20,28,50,DWWDD
1. Division: Regular Season,5,Omonia Nicosia,3402,26,14,7,5,49,30,19,49,WDWWL
1. Division: Regular Season,6,Anorthosis,2269,26,14,5,7,38,23,15,47,WLWLD
1. Division: Regular Season,7,Apollon Limassol,602,26,10,8,8,37,27,10,38,DLWLD
1. Division: Regular Season,8,Nea Salamis,3401,26,10,6,10,34,39,-5,36,DDWLL
1. Division: Regular Season,9,AEL,3396,26,9,3,14,34,45,-11,30,LLDWW
1. Division: Regular Season,10,Ethnikos Achna,3412,26,6,8,12,39,56,-17,26,DDLWW
1. Division: Regular Season,11,Karmiotissa,3413,26,5,5,16,31,53,-22,20,WWLLL
1. Division: Regular Season,12,AE Zakakiou,3404,26,2,10,14,28,59,-31,16,LLDDL
1. Division: Regular Season,13,Othellos,3418,26,3,6,17,20,52,-32,15,LLDDL
1. Division: Regular Season,14,Doxa,3398,26,3,3,20,14,56,-42,12,LLLDL
