group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Czech Liga: Championship Round,1,Plzen,567,35,26,7,2,63,21,42,85,WWWDW
Czech Liga: Championship Round,2,Slavia Praha,560,35,24,6,5,80,27,53,78,LDWDL
Czech Liga: Championship Round,3,Sparta Praha,628,35,22,7,6,72,40,32,73,WLLDW
Czech Liga: Championship Round,4,Slovácko,3719,35,21,5,9,59,38,21,68,WWLWL
Czech Liga: Championship Round,5,Baník Ostrava,3713,35,15,10,10,60,48,12,55,LDWLL
Czech Liga: Championship Round,6,Hradec Králové,3723,35,10,14,11,44,52,-8,44,LLLDW
Czech Liga: Relegation Round,1,Pardubice,3724,35,9,10,16,42,68,-26,37,WDWWW
Czech Liga: Relegation Round,2,Zlin,603,35,9,9,17,43,60,-17,36,DDLWD
Czech Liga: Relegation Round,3,FK Jablonec,1122,35,6,16,13,27,48,-21,34,DDWWL
Czech Liga: Relegation Round,4,Bohemians 1905,3714,35,8,10,17,45,61,-16,34,WDWLD
Czech Liga: Relegation Round,5,Teplice,3720,35,8,5,22,33,59,-26,29,LDLLD
Czech Liga: Relegation Round,6,Karviná,3716,35,3,10,22,33,63,-30,19,LDLLD
Czech Liga: Regular Season,1,Slavia Praha,560,30,23,4,3,71,19,52,73,WWWDW
Czech Liga: Regular Season,2,Plzen,567,30,22,6,2,53,19,34,72,WWDDD
Czech Liga: Regular Season,3,Sparta Praha,628,30,20,6,4,65,32,33,66,LWWWW
Czech Liga: Regular Season,4,Slovácko,3719,30,18,5,7,50,30,20,59,WLWWW
Czech Liga: Regular Season,5,Baník Ostrava,3713,30,14,9,7,54,39,15,51,WLDLL
Czech Liga: Regular Season,6,Hradec Králové,3723,30,9,13,8,38,40,-2,40,DWDDW
Czech Liga: Regular Season,7,Mlada Boleslav,640,30,11,5,14,45,48,-3,38,LWWDL
Czech Liga: Regular Season,8,Slovan Liberec,782,30,10,7,13,29,38,-9,37,LWDLL
Czech Liga: Regular Season,9,Sigma Olomouc,2250,30,9,10,11,39,37,2,37,WLDLW
Czech Liga: Regular Season,10,České Budějovice,3736,30,9,9,12,40,46,-6,36,LWLDL
Czech Liga: Regular Season,11,Zlin,603,30,8,6,16,36,53,-17,30,LLDDW
Czech Liga: Regular Season,12,Teplice,3720,30,8,3,19,29,49,-20,27,WLLWL
Czech Liga: Regular Season,13,FK Jablonec,1122,30,4,14,12,22,45,-23,26,LLDDD
Czech Liga: Regular Season,14,Bohemians 1905,3714,30,6,8,16,34,56,-22,26,DLDDL
Czech Liga: Regular Season,15,Pardubice,3724,30,5,9,16,35,67,-32,24,LWLDL
Czech Liga: Regular Season,16,Karviná,3716,30,3,8,19,30,52,-22,17,WLLDW
