group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Meistaradeildin,1,KI Klaksvik,701,27,21,4,2,66,19,47,67,LDDWW
Meistaradeildin,2,Vikingur Gota,580,27,19,3,5,76,23,53,60,WWWWW
Meistaradeildin,3,HB,4133,27,18,4,5,68,23,45,58,WWWDD
Meistaradeildin,4,B36 Torshavn,678,27,18,3,6,54,27,27,57,LDWLD
Meistaradeildin,5,07 Vestur,4174,27,12,4,11,42,41,1,40,WLLWL
Meistaradeildin,6,EB / Streymur,4177,27,7,4,16,25,53,-28,25,LLDWL
Meistaradeildin,7,B68,4186,27,4,11,12,29,48,-19,23,DDLDD
Meistaradeildin,8,ÍF II,4187,27,6,2,19,23,67,-44,20,DWDLW
Meistaradeildin,9,AB,4184,27,5,3,19,27,63,-36,18,WDDLL
Meistaradeildin,10,TB,4192,27,4,4,19,15,61,-46,16,LLLLL
