group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Ligue 2 ,1,Estac Troyes,110,34,20,7,7,60,33,27,67,LWWWL
Ligue 2 ,2,Le Mans,1298,34,16,14,4,50,31,19,62,WDDWD
Ligue 2 ,3,Saint Etienne,1063,34,18,6,10,59,38,21,60,WLLLW
Ligue 2 ,4,RED Star FC 93,104,34,16,10,8,45,37,8,58,DWWLW
Ligue 2 ,5,Rodez,1301,34,15,13,6,45,39,6,58,WWDWW
Ligue 2 ,6,Reims,93,34,14,14,6,53,35,18,56,WDDWD
Ligue 2 ,7,Annecy,3012,34,15,7,12,49,39,10,52,LWWWD
Ligue 2 ,8,Montpellier,82,34,14,9,11,41,31,10,51,DLWWD
Ligue 2 ,9,PAU,1297,34,12,9,13,48,62,-14,45,LLLWW
Ligue 2 ,10,Dunkerque,1304,34,11,10,13,53,45,8,43,LLWLL
Ligue 2 ,11,Guingamp,90,34,10,10,14,42,49,-7,40,LLLLD
Ligue 2 ,12,Grenoble,101,34,8,15,11,33,39,-6,39,WWDLD
Ligue 2 ,13,Clermont Foot,99,34,9,10,15,38,44,-6,37,WWDLD
Ligue 2 ,14,Nancy,102,34,9,10,15,35,52,-17,37,WWDLD
Ligue 2 ,15,Boulogne,1299,34,9,9,16,34,49,-15,36,LLLLD
Ligue 2 ,16,Laval,433,34,6,14,14,30,48,-18,32,WDWLD
Ligue 2 ,17,Bastia,1305,34,5,13,16,23,39,-16,28,LWDWL
Ligue 2 ,18,Amiens,87,34,6,6,22,37,65,-28,24,LLLLL
