group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
National 2: Group B,1,Gobelins,9238,29,19,6,4,39,17,22,63,WWDDW
National 2: Group B,2,Fleury 91,3179,29,19,5,5,49,23,26,62,WWDWW
National 2: Group B,3,Beauvais,3153,29,15,6,8,28,25,3,51,DWWWD
National 2: Group B,4,Bobigny,3027,29,12,12,5,42,35,7,48,DLWDD
National 2: Group B,5,St Maur Lusitanos,3115,29,11,13,5,30,20,10,46,DLDLW
National 2: Group B,6,Epinal,1309,29,12,8,9,46,31,15,44,WLDLD
National 2: Group B,7,Auxerre II,9935,29,12,6,11,33,32,1,42,WLDWL
National 2: Group B,8,Reims II,9235,29,10,7,12,40,39,1,37,LWDDL
National 2: Group B,9,Olympique St Quentin,3091,29,8,11,10,34,37,-3,35,LWLDL
National 2: Group B,10,Sainte Geneviève,3110,29,8,11,10,29,32,-3,35,DWLDW
National 2: Group B,11,Haguenau,3058,29,9,7,13,44,50,-6,34,WLDLL
National 2: Group B,12,Belfort,1311,29,8,7,14,30,41,-11,31,DLDWD
National 2: Group B,13,Metz II,9942,29,7,7,15,28,39,-11,28,LWDDL
National 2: Group B,14,Schiltigheim,3114,29,5,13,11,24,32,-8,28,LWDDD
National 2: Group B,15,Lens II,9233,29,4,12,13,26,41,-15,24,DLLDW
National 2: Group B,16,Entente S St Gratien,1294,29,6,3,20,17,45,-28,21,LLWLD
