group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Regular Season,1,Mangasport,8089,26,20,1,5,50,18,32,61,WLLWL
Regular Season,2,Stade Mandji,19865,26,17,4,5,41,16,25,55,LLWLD
Regular Season,3,Ogooue FC,27625,26,13,5,8,39,25,14,44,LLDWW
Regular Season,4,Oyem AC,27734,26,13,4,9,38,25,13,43,DWDWW
Regular Season,5,Vautour Club,21194,26,12,7,7,31,22,9,43,DWWWW
Regular Season,6,Cercle Mbéri,6415,26,11,9,6,30,20,10,42,DWLWD
Regular Season,7,US Oyem,21193,26,10,7,9,31,29,2,37,DWWWD
Regular Season,8,FC 105,21190,26,11,3,12,33,36,-3,36,DLDLW
Regular Season,9,Pélican,8069,26,9,5,12,34,33,1,32,WWWLL
Regular Season,10,Stade Migoveen,27575,26,8,7,11,21,29,-8,31,WWLLL
Regular Season,11,Bitam,21187,26,9,4,13,28,49,-21,31,WWLLW
Regular Season,12,Lozo,21191,26,7,7,12,22,27,-5,28,DLDLW
Regular Season,13,Bouenguidi,15564,26,3,10,13,21,34,-13,19,LLWLL
Regular Season,14,Dikaki,21189,26,1,3,22,17,73,-56,6,LLLLL
