group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Division d'Honneur,1,Moulien,3203,24,15,4,5,43,24,19,73,LWWWW
Division d'Honneur,2,Gosier,4394,24,15,3,6,50,23,27,72,WLWLW
Division d'Honneur,3,Sporting Baie-Mahault,18187,24,14,5,5,35,18,17,71,WWDWD
Division d'Honneur,4,Dynamo Le Moule,15552,24,13,8,3,40,28,12,71,WWDDW
Division d'Honneur,5,La Gauloise,4395,24,9,9,6,41,29,12,60,LDLWD
Division d'Honneur,6,Etoile de Morne-à-l'Eau,3173,24,10,5,9,38,29,9,58,WDWDL
Division d'Honneur,7,Siroco Les Abymes,4397,24,8,10,6,30,22,8,58,WDDWL
Division d'Honneur,8,Jeunesse Evolution,6327,24,9,5,10,30,33,-3,56,LLLWW
Division d'Honneur,9,AS Le Moule,24906,24,7,7,10,29,39,-10,52,LDDLW
Division d'Honneur,10,Gourbeyre,4405,24,6,6,12,31,35,-4,48,WDLLL
Division d'Honneur,11,USBM,4401,24,5,4,15,22,55,-33,43,LDLLL
Division d'Honneur,12,CERFA,15551,24,4,6,14,24,37,-13,42,LDWLL
Division d'Honneur,13,Phare du Canal,3285,24,2,6,16,19,60,-41,36,LLWLL
Division d'Honneur,14,Cambrefort,22101,0,0,0,0,0,0,0,0,
