group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Úrvalsdeild,1,Vikingur Reykjavik,278,22,14,6,2,38,21,17,48,WWWWW
Úrvalsdeild,2,Breidablik,276,22,15,2,5,55,21,34,47,WLWWW
Úrvalsdeild,3,KR Reykjavik,271,22,12,5,5,35,19,16,41,WLWWW
Úrvalsdeild,4,KA Akureyri,272,22,12,4,6,36,20,16,40,DWWWL
Úrvalsdeild,5,Valur Reykjavik,274,22,12,3,7,37,26,11,39,WLLLL
Úrvalsdeild,6,FH hafnarfjordur,270,22,9,6,7,39,26,13,33,DWWLD
Úrvalsdeild,7,Stjarnan,275,22,6,4,12,24,36,-12,22,LLLWW
Úrvalsdeild,8,Leiknir R.,2114,22,6,4,12,18,32,-14,22,LLLLD
Úrvalsdeild,9,IA Akranes,827,22,6,3,13,29,44,-15,21,WWWLL
Úrvalsdeild,10,Keflavik,269,22,6,3,13,23,38,-15,21,LWLLD
Úrvalsdeild,11,HK Kopavogur,2113,22,5,5,12,21,39,-18,20,LWLWD
Úrvalsdeild,12,Fylkir,267,22,3,7,12,18,51,-33,16,LLLLL
