group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Premier Division,1,Shamrock Rovers,652,18,15,3,0,44,7,37,48,WWDWW
Premier Division,2,Bohemians,3840,18,12,1,5,23,12,11,37,WLDWW
Premier Division,3,Dundalk,584,18,7,5,6,25,23,2,26,LDLWD
Premier Division,4,Sligo Rovers,3842,18,8,1,9,19,23,-4,25,WWLLW
Premier Division,5,Waterford,3845,18,7,3,8,17,22,-5,24,LWDLL
Premier Division,6,St Patrick's Athl.,3843,18,5,6,7,14,17,-3,21,LDDLW
Premier Division,7,Derry City,670,18,5,5,8,18,18,0,20,DLWLW
Premier Division,8,Finn Harps,3841,18,5,5,8,15,24,-9,20,WLWWD
Premier Division,9,Shelbourne,3854,18,5,4,9,13,22,-9,19,LLWWL
Premier Division,10,Cork City,653,18,2,5,11,10,30,-20,11,DLDLL
