group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Serie C: Girone B,1,Reggiana,880,38,24,9,5,63,27,36,81,DWWDD
Serie C: Girone B,2,Cesena,509,38,23,10,5,66,24,42,79,WWWDW
Serie C: Girone B,3,Virtus Entella,527,38,23,10,5,60,31,29,79,WDDWW
Serie C: Girone B,4,Carrarese,1581,38,18,8,12,51,42,9,62,LWDDW
Serie C: Girone B,5,Gubbio,866,38,17,10,11,50,34,16,61,DDDWW
Serie C: Girone B,6,Pontedera,1591,38,16,12,10,48,39,9,60,DWWLW
Serie C: Girone B,7,Ancona,897,38,16,10,12,55,44,11,58,LWLDD
Serie C: Girone B,8,Lucchese,889,38,12,15,11,36,32,4,51,WLDDD
Serie C: Girone B,9,Robur Siena,1583,38,11,17,10,40,40,0,48,LDDLL
Serie C: Girone B,10,Rimini,1709,38,11,14,13,43,41,2,47,DLDDD
Serie C: Girone B,11,Recanatese,9517,38,11,14,13,39,43,-4,47,WDLDW
Serie C: Girone B,12,Fermana,1701,38,9,17,12,43,49,-6,44,DLLWD
Serie C: Girone B,13,Olbia,1697,38,9,14,15,43,50,-7,41,LLWWL
Serie C: Girone B,14,Fiorenzuola,9485,38,11,8,19,31,44,-13,41,LDDLD
Serie C: Girone B,15,Torres,9534,38,8,17,13,33,36,-3,41,DDDWD
Serie C: Girone B,16,Vis Pesaro,1708,38,9,12,17,24,55,-31,39,WLWLL
Serie C: Girone B,17,Alessandria,878,38,9,11,18,33,52,-19,38,LWWLD
Serie C: Girone B,18,San Donato Tavarnelle,9502,38,8,13,17,40,62,-22,37,WLLWL
Serie C: Girone B,19,Imolese,893,38,9,9,20,29,55,-26,34,DWLDL
Serie C: Girone B,20,Montevarchi Calcio,9500,38,6,10,22,32,59,-27,28,DLLLL
