group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Serie C: Girone C,1,Catanzaro,1687,38,30,6,2,102,21,81,96,LWWWD
Serie C: Girone C,2,Crotone,501,38,23,11,4,57,31,26,80,WWLWD
Serie C: Girone C,3,Pescara,525,38,19,8,11,58,42,16,65,WWLWD
Serie C: Girone C,4,Foggia,521,38,18,7,13,60,44,16,61,WLWWL
Serie C: Girone C,5,Audace Cerignola,9539,38,16,12,10,48,41,7,60,DWWDD
Serie C: Girone C,6,AZ Picerno,1587,38,15,14,9,40,34,6,59,LWDDD
Serie C: Girone C,7,SS Monopoli,10138,38,16,6,16,46,48,-2,54,WLWWL
Serie C: Girone C,8,Latina,804,38,12,13,13,39,46,-7,49,WLWLD
Serie C: Girone C,9,Potenza,1710,38,10,18,10,49,57,-8,48,WLLDW
Serie C: Girone C,10,Juve Stabia,863,38,12,10,16,37,49,-12,46,DLDWL
Serie C: Girone C,11,Taranto,1696,38,11,13,14,26,36,-10,46,DDWLD
Serie C: Girone C,12,Giugliano,9556,38,11,13,14,51,61,-10,46,LWLLW
Serie C: Girone C,13,Virtus Francavilla,873,38,13,6,19,47,54,-7,45,LLLLW
Serie C: Girone C,14,Avellino,528,38,11,10,17,42,49,-7,43,LLLLD
Serie C: Girone C,15,Turris,5608,38,11,10,17,40,56,-16,43,LWWLW
Serie C: Girone C,16,Monterosi,882,38,10,14,14,39,45,-6,42,WDWDW
Serie C: Girone C,17,Messina,898,38,11,8,19,32,47,-15,41,DWDLL
Serie C: Girone C,18,Gelbison,9544,38,7,15,16,25,40,-15,36,LLLLD
Serie C: Girone C,19,Viterbese,1585,38,8,11,19,35,52,-17,33,WLLWD
Serie C: Girone C,20,Fidelis Andria,1695,38,6,15,17,29,49,-20,33,LWDWL
