group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Serie D: Group B,1,Sangiuliano City,17817,38,25,7,6,81,39,42,82,WWWWW
Serie D: Group B,2,Legnano,9452,38,19,9,10,49,44,5,66,WDWLW
Serie D: Group B,3,USD Casatese,17563,38,17,13,8,70,44,26,64,WWWLW
Serie D: Group B,4,Brusaporto,9445,38,18,10,10,62,49,13,64,WLLLD
Serie D: Group B,5,Folgore Caratese,9450,38,18,9,11,57,46,11,63,WLDWL
Serie D: Group B,6,Desenzano Calvina,17816,38,17,12,9,65,49,16,63,DWDLW
Serie D: Group B,7,Virtus Ciserano Bergamo,9462,38,15,13,10,66,56,10,58,LLLWD
Serie D: Group B,8,Breno,9481,38,16,10,12,56,43,13,58,LWWWL
Serie D: Group B,9,Arconatese,9444,38,15,12,11,62,58,4,57,LDWWL
Serie D: Group B,10,Franciacorta,9486,38,13,13,12,73,80,-7,52,DLLLD
Serie D: Group B,11,Castellanzese,9448,38,12,10,16,50,55,-5,46,LDWDW
Serie D: Group B,12,Sona,17818,38,11,12,15,43,56,-13,45,DWWLW
Serie D: Group B,13,Ponte San Pietro,9455,38,10,14,14,54,56,-2,44,LLDDL
Serie D: Group B,14,Real Calepina,17140,38,11,11,16,38,39,-1,44,LWLDW
Serie D: Group B,15,Crema,9484,38,11,11,16,44,53,-9,44,DLDLD
Serie D: Group B,16,Villa Valle,9460,38,9,12,17,49,56,-7,39,WLLDL
Serie D: Group B,17,Caravaggio,9447,38,7,17,14,42,62,-20,38,WDDWD
Serie D: Group B,18,Vis Nova Giussano,17819,38,10,5,23,56,77,-21,35,LWLDL
Serie D: Group B,19,Olginatese,17536,38,8,11,19,43,60,-17,35,WWLDD
Serie D: Group B,20,Leon,2289,38,8,9,21,50,88,-38,33,LLDWL
