group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Serie D: Group H,1,Casarano,9542,34,21,11,2,72,30,42,74,DLWWW
Serie D: Group H,2,Nocerina,9548,34,20,10,4,64,27,37,70,DWWWL
Serie D: Group H,3,Martina Franca,19975,34,17,11,6,48,28,20,62,WDWLL
Serie D: Group H,4,Fidelis Andria,1695,34,16,9,9,41,29,12,57,DDLDL
Serie D: Group H,5,Città di Fasano,5604,34,13,11,10,45,32,13,50,WLLWW
Serie D: Group H,6,Matera,869,34,12,13,9,51,47,4,49,DWWDL
Serie D: Group H,7,Virtus Francavilla,873,34,12,11,11,41,34,7,47,DLLDW
Serie D: Group H,8,Nardò,9536,34,13,8,13,47,45,2,47,LWLWW
Serie D: Group H,9,Ischia,22311,34,11,12,11,39,45,-6,45,DWWDD
Serie D: Group H,10,USD Palmese,19991,34,10,12,12,41,45,-4,42,DLDLW
Serie D: Group H,11,Gravina,9546,34,11,9,14,43,46,-3,42,LWWDD
Serie D: Group H,12,Francavilla,9543,34,11,8,15,28,34,-6,41,DWLLL
Serie D: Group H,13,Real Acerrana,24698,34,11,8,15,37,50,-13,41,WWLLW
Serie D: Group H,14,Ugento,24703,34,10,7,17,33,51,-18,37,DLWWL
Serie D: Group H,15,Manfredonia,22313,34,8,11,15,33,51,-18,35,LDDWL
Serie D: Group H,16,Brindisi,9541,34,9,14,11,44,43,1,27,DDWLW
Serie D: Group H,17,Angri Calcio,19967,34,6,8,20,35,69,-34,26,WLLLL
Serie D: Group H,18,Costa D’Amalfi,24689,34,3,11,20,26,62,-36,20,LLLDW
