group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Super D1 ,1,Nouadhibou,6427,26,17,7,2,49,15,34,58,WLWDW
Super D1 ,2,N'Zidane,24798,26,13,7,6,42,35,7,46,DWWDD
Super D1 ,3,AC Douane,17924,26,12,9,5,40,29,11,45,DLDDD
Super D1 ,4,Pompiers,21987,26,11,11,4,29,22,7,44,LDWDW
Super D1 ,5,Nouakchott Academie,26812,26,10,9,7,32,22,10,39,WDWWD
Super D1 ,6,Chemal,20469,26,10,6,10,34,35,-1,36,WWLWD
Super D1 ,7,Tevragh-Zeïne,15521,26,8,11,7,36,31,5,35,WLLDW
Super D1 ,8,Nouakchott King's,16172,26,8,10,8,37,34,3,34,WWWLW
Super D1 ,9,SNIM,8071,26,7,12,7,29,28,1,33,LWLLD
Super D1 ,10,Gendrim,20470,26,8,9,9,24,34,-10,33,WWLDD
Super D1 ,11,Police,16175,26,5,11,10,28,31,-3,26,LLLLD
Super D1 ,12,Kaédi,16169,26,6,7,13,24,37,-13,25,LWDWL
Super D1 ,13,Ksar,16170,26,4,5,17,23,48,-25,17,LLWLL
Super D1 ,14,Inter Nouakchott,16167,26,3,6,17,24,50,-26,15,LLLWL
