group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Apertura,1,Club America,2287,3,2,1,0,5,1,4,7,WDW
Apertura,2,Club Tijuana,2280,3,2,1,0,4,1,3,7,DWW
Apertura,3,Toluca,2281,3,2,0,1,6,3,3,6,WLW
Apertura,4,U.N.A.M. - Pumas,2286,3,2,0,1,7,5,2,6,WWL
Apertura,5,Monterrey,2282,3,2,0,1,6,4,2,6,WLW
Apertura,6,Cruz Azul,2295,3,2,0,1,7,6,1,6,LWW
Apertura,7,Club Queretaro,2290,3,2,0,1,5,4,1,6,WWL
Apertura,8,Necaxa,2288,3,2,0,1,5,5,0,6,LWW
Apertura,9,Atlas,2283,3,2,0,1,4,4,0,6,LWW
Apertura,10,Atlante FC,2312,3,1,1,1,5,5,0,4,WDL
Apertura,11,Puebla,2291,3,1,1,1,3,3,0,4,DLW
Apertura,12,Guadalajara Chivas,2278,3,1,1,1,2,3,-1,4,DWL
Apertura,13,CF Pachuca,2292,3,1,0,2,4,3,1,3,LLW
Apertura,14,Leon,2289,3,1,0,2,3,4,-1,3,WLL
Apertura,15,Atletico San Luis,2314,3,0,2,1,4,5,-1,2,DDL
Apertura,16,Tigres UANL,2279,3,0,1,2,5,8,-3,1,LDL
Apertura,17,Santos Laguna,2285,3,0,0,3,2,7,-5,0,LLL
Apertura,18,FC Juarez,2298,3,0,0,3,1,7,-6,0,LLL
